seed,n,p,objective,train_n,X,p_succ,angle_id,eval_index,trial,delta_gamma,delta_beta
643418289,12,2,mean_p,12,0.5852183871066291,0.0076909597337952058,mean_p|train_n=12|p=2,93,163,-1.7764899999999999,1.29064
1944515947,12,2,mean_p,12,0.75226220923235976,0.0019167175747502251,mean_p|train_n=12|p=2,94,166,-1.7764899999999999,1.29064
3298162620,12,2,mean_p,12,0.66093188840666017,0.004097095791120749,mean_p|train_n=12|p=2,95,168,-1.7764899999999999,1.29064
1206047947,12,2,mean_p,12,0.72327281290630463,0.0024393732620176583,mean_p|train_n=12|p=2,96,169,-1.7764899999999999,1.29064
2604005598,12,2,mean_p,12,0.51474438673276812,0.013821589614857056,mean_p|train_n=12|p=2,97,171,-1.7764899999999999,1.29064
2337500821,12,2,mean_p,12,0.61218304498770404,0.0061457443061264027,mean_p|train_n=12|p=2,98,172,-1.7764899999999999,1.29064
1163384897,12,2,mean_p,12,0.60971084038938117,0.0062734289008933184,mean_p|train_n=12|p=2,99,173,-1.7764899999999999,1.29064
1216935791,12,5,mean_p,12,0.43056633648193948,0.027838088498789434,mean_p|train_n=12|p=5,0,1,-1.6801600000000001,1.1049500000000001
2260314959,12,5,mean_p,12,0.44449298191092684,0.024793129852069003,mean_p|train_n=12|p=5,1,3,-1.6801600000000001,1.1049500000000001
1769420166,12,5,mean_p,12,0.40424882581404814,0.034650358527279899,mean_p|train_n=12|p=5,2,4,-1.6801600000000001,1.1049500000000001
1744918561,12,5,mean_p,12,0.48089827312514427,0.018315650137578791,mean_p|train_n=12|p=5,3,6,-1.6801600000000001,1.1049500000000001
389127389,12,5,mean_p,12,0.35129258353919396,0.05382756588544943,mean_p|train_n=12|p=5,4,9,-1.6801600000000001,1.1049500000000001
3394316332,12,5,mean_p,12,0.46906019496438756,0.020210903967781753,mean_p|train_n=12|p=5,5,10,-1.6801600000000001,1.1049500000000001
1040504255,12,5,mean_p,12,0.37330791204366198,0.044820577735493076,mean_p|train_n=12|p=5,6,12,-1.6801600000000001,1.1049500000000001
2732655119,12,5,mean_p,12,0.40760584334230882,0.033696203858748316,mean_p|train_n=12|p=5,7,18,-1.6801600000000001,1.1049500000000001
1877312817,12,5,mean_p,12,0.61107859027878908,0.0062024629027776623,mean_p|train_n=12|p=5,8,21,-1.6801600000000001,1.1049500000000001
3679680443,12,5,mean_p,12,0.40064126679877798,0.035705863000658158,mean_p|train_n=12|p=5,9,22,-1.6801600000000001,1.1049500000000001
1320326900,12,5,mean_p,12,0.40330776421623016,0.034922649552070549,mean_p|train_n=12|p=5,10,23,-1.6801600000000001,1.1049500000000001
2005589621,12,5,mean_p,12,0.39854892307278461,0.036332713393996019,mean_p|train_n=12|p=5,11,24,-1.6801600000000001,1.1049500000000001
3896826472,12,5,mean_p,12,0.58610826868414989,0.00763424274493323,mean_p|train_n=12|p=5,12,25,-1.6801600000000001,1.1049500000000001
1591439311,12,5,mean_p,12,0.36490678772674934,0.048064600317373682,mean_p|train_n=12|p=5,13,26,-1.6801600000000001,1.1049500000000001
2713997097,12,5,mean_p,12,0.54525264853153932,0.010723860871358435,mean_p|train_n=12|p=5,14,27,-1.6801600000000001,1.1049500000000001
349278084,12,5,mean_p,12,0.41404063473494007,0.031940094317361757,mean_p|train_n=12|p=5,15,28,-1.6801600000000001,1.1049500000000001
2560814193,12,5,mean_p,12,0.38681584076836278,0.040057325509431516,mean_p|train_n=12|p=5,16,29,-1.6801600000000001,1.1049500000000001
2134005312,12,5,mean_p,12,0.36748948583921548,0.04704307479732954,mean_p|train_n=12|p=5,17,32,-1.6801600000000001,1.1049500000000001
499365932,12,5,mean_p,12,0.43786544630333774,0.026198257060472796,mean_p|train_n=12|p=5,18,34,-1.6801600000000001,1.1049500000000001
1059630829,12,5,mean_p,12,0.63263961027292892,0.0051841553869096391,mean_p|train_n=12|p=5,19,37,-1.6801600000000001,1.1049500000000001
176839923,12,5,mean_p,12,0.47697414883830075,0.018923335469032916,mean_p|train_n=12|p=5,20,38,-1.6801600000000001,1.1049500000000001
3530515497,12,5,mean_p,12,0.42813910669472682,0.028405827070717014,mean_p|train_n=12|p=5,21,42,-1.6801600000000001,1.1049500000000001
1907554926,12,5,mean_p,12,0.53673478187604673,0.011511204550666012,mean_p|train_n=12|p=5,22,43,-1.6801600000000001,1.1049500000000001
1421420137,12,5,mean_p,12,0.44545629132647263,0.02459526661093081,mean_p|train_n=12|p=5,23,45,-1.6801600000000001,1.1049500000000001
247320122,12,5,mean_p,12,0.43131958747714422,0.027664217945609391,mean_p|train_n=12|p=5,24,47,-1.6801600000000001,1.1049500000000001
3688305417,12,5,mean_p,12,0.49537959816299032,0.016237179080387062,mean_p|train_n=12|p=5,25,48,-1.6801600000000001,1.1049500000000001
2190912315,12,5,mean_p,12,0.57118154843164848,0.0086434405934485391,mean_p|train_n=12|p=5,26,49,-1.6801600000000001,1.1049500000000001
1650338280,12,5,mean_p,12,0.51139739207194201,0.014211782207016061,mean_p|train_n=12|p=5,27,50,-1.6801600000000001,1.1049500000000001
759544395,12,5,mean_p,12,0.37986917410987181,0.04244004248439838,mean_p|train_n=12|p=5,28,53,-1.6801600000000001,1.1049500000000001
400983577,12,5,mean_p,12,0.43598397024861191,0.026611476284629038,mean_p|train_n=12|p=5,29,55,-1.6801600000000001,1.1049500000000001
2246369622,12,5,mean_p,12,0.46925031374013609,0.020178968439024392,mean_p|train_n=12|p=5,30,58,-1.6801600000000001,1.1049500000000001
246364635,12,5,mean_p,12,0.46137389610390328,0.021545243991909564,mean_p|train_n=12|p=5,31,59,-1.6801600000000001,1.1049500000000001
