seed,n,p,objective,train_n,X,p_succ,angle_id,eval_index,trial,delta_gamma,delta_beta
1216935791,12,2,mean_p,12,0.63501989810729398,0.0050825253555953206,mean_p|train_n=12|p=2,0,1,-1.7764899999999999,1.29064
2260314959,12,2,mean_p,12,0.63070275977256574,0.0052683499048486876,mean_p|train_n=12|p=2,1,3,-1.7764899999999999,1.29064
1769420166,12,2,mean_p,12,0.67717951772593843,0.0035791824114688509,mean_p|train_n=12|p=2,2,4,-1.7764899999999999,1.29064
1744918561,12,2,mean_p,12,0.5999137870924075,0.0068060551402419536,mean_p|train_n=12|p=2,3,6,-1.7764899999999999,1.29064
389127389,12,2,mean_p,12,0.53968875866933308,0.011231815058557158,mean_p|train_n=12|p=2,4,9,-1.7764899999999999,1.29064
3394316332,12,2,mean_p,12,0.65243048514514301,0.0043973015271687064,mean_p|train_n=12|p=2,5,10,-1.7764899999999999,1.29064
1040504255,12,2,mean_p,12,0.59327567299283568,0.0071924147131433164,mean_p|train_n=12|p=2,6,12,-1.7764899999999999,1.29064
2732655119,12,2,mean_p,12,0.65216326080781084,0.0044070863216257271,mean_p|train_n=12|p=2,7,18,-1.7764899999999999,1.29064
1877312817,12,2,mean_p,12,0.73902759110340976,0.0021397662314572544,mean_p|train_n=12|p=2,8,21,-1.7764899999999999,1.29064
3679680443,12,2,mean_p,12,0.61224829475416709,0.0061424097171611331,mean_p|train_n=12|p=2,9,22,-1.7764899999999999,1.29064
1216935791,12,5,mean_p,12,0.43056633648193948,0.027838088498789434,mean_p|train_n=12|p=5,0,1,-1.6801600000000001,1.1049500000000001
2260314959,12,5,mean_p,12,0.44449298191092684,0.024793129852069003,mean_p|train_n=12|p=5,1,3,-1.6801600000000001,1.1049500000000001
1769420166,12,5,mean_p,12,0.40424882581404814,0.034650358527279899,mean_p|train_n=12|p=5,2,4,-1.6801600000000001,1.1049500000000001
1744918561,12,5,mean_p,12,0.48089827312514427,0.018315650137578791,mean_p|train_n=12|p=5,3,6,-1.6801600000000001,1.1049500000000001
389127389,12,5,mean_p,12,0.35129258353919396,0.05382756588544943,mean_p|train_n=12|p=5,4,9,-1.6801600000000001,1.1049500000000001
3394316332,12,5,mean_p,12,0.46906019496438756,0.020210903967781753,mean_p|train_n=12|p=5,5,10,-1.6801600000000001,1.1049500000000001
1040504255,12,5,mean_p,12,0.37330791204366198,0.044820577735493076,mean_p|train_n=12|p=5,6,12,-1.6801600000000001,1.1049500000000001
2732655119,12,5,mean_p,12,0.40760584334230882,0.033696203858748316,mean_p|train_n=12|p=5,7,18,-1.6801600000000001,1.1049500000000001
1877312817,12,5,mean_p,12,0.61107859027878908,0.0062024629027776623,mean_p|train_n=12|p=5,8,21,-1.6801600000000001,1.1049500000000001
3679680443,12,5,mean_p,12,0.40064126679877798,0.035705863000658158,mean_p|train_n=12|p=5,9,22,-1.6801600000000001,1.1049500000000001
1216935791,12,10,mean_p,12,0.35724963014974165,0.051225445563373169,mean_p|train_n=12|p=10,0,1,-1.61155,1.08521
2260314959,12,10,mean_p,12,0.26921038492856941,0.1065406121811249,mean_p|train_n=12|p=10,1,3,-1.61155,1.08521
1769420166,12,10,mean_p,12,0.26773007417088168,0.10786054321897644,mean_p|train_n=12|p=10,2,4,-1.61155,1.08521
1744918561,12,10,mean_p,12,0.39273277355640895,0.038133604548296174,mean_p|train_n=12|p=10,3,6,-1.61155,1.08521
389127389,12,10,mean_p,12,0.23137613707870097,0.14594395442414526,mean_p|train_n=12|p=10,4,9,-1.61155,1.08521
3394316332,12,10,mean_p,12,0.4244184371360662,0.029298665298694224,mean_p|train_n=12|p=10,5,10,-1.61155,1.08521
1040504255,12,10,mean_p,12,0.24832106211771268,0.12675787237570718,mean_p|train_n=12|p=10,6,12,-1.61155,1.08521
2732655119,12,10,mean_p,12,0.23571015075794555,0.14077647683810834,mean_p|train_n=12|p=10,7,18,-1.61155,1.08521
1877312817,12,10,mean_p,12,0.55390962627517915,0.0099788168394123571,mean_p|train_n=12|p=10,8,21,-1.61155,1.08521
3679680443,12,10,mean_p,12,0.28157480725865963,0.096128118916554317,mean_p|train_n=12|p=10,9,22,-1.61155,1.08521
1216935791,12,20,mean_p,12,0.23636583984051793,0.14001079032488778,mean_p|train_n=12|p=20,0,1,-1.55047,0.95916000000000001
2260314959,12,20,mean_p,12,0.18921859925982262,0.20724034691967136,mean_p|train_n=12|p=20,1,3,-1.55047,0.95916000000000001
1769420166,12,20,mean_p,12,0.15227849250654654,0.28178331416566899,mean_p|train_n=12|p=20,2,4,-1.55047,0.95916000000000001
1744918561,12,20,mean_p,12,0.34225739397762833,0.058028734312360677,mean_p|train_n=12|p=20,3,6,-1.55047,0.95916000000000001
389127389,12,20,mean_p,12,0.13496623578556957,0.32542684482749284,mean_p|train_n=12|p=20,4,9,-1.55047,0.95916000000000001
3394316332,12,20,mean_p,12,0.33850231628625832,0.059869797656679553,mean_p|train_n=12|p=20,5,10,-1.55047,0.95916000000000001
1040504255,12,20,mean_p,12,0.17791011023501749,0.22767987455073552,mean_p|train_n=12|p=20,6,12,-1.55047,0.95916000000000001
2732655119,12,20,mean_p,12,0.15669702056721485,0.27161513049638208,mean_p|train_n=12|p=20,7,18,-1.55047,0.95916000000000001
1877312817,12,20,mean_p,12,0.54230363848361063,0.010990161051924218,mean_p|train_n=12|p=20,8,21,-1.55047,0.95916000000000001
3679680443,12,20,mean_p,12,0.15853270807624398,0.26749938932256612,mean_p|train_n=12|p=20,9,22,-1.55047,0.95916000000000001
1216935791,12,50,mean_p,12,0.11196124452969242,0.39405394936606064,mean_p|train_n=12|p=50,0,1,-1.3777999999999999,0.93608999999999998
2260314959,12,50,mean_p,12,0.098257433340668388,0.44163021943470149,mean_p|train_n=12|p=50,1,3,-1.3777999999999999,0.93608999999999998
1769420166,12,50,mean_p,12,0.051304202169936121,0.65263559234098423,mean_p|train_n=12|p=50,2,4,-1.3777999999999999,0.93608999999999998
1744918561,12,50,mean_p,12,0.30079221636805176,0.081927602297079793,mean_p|train_n=12|p=50,3,6,-1.3777999999999999,0.93608999999999998
389127389,12,50,mean_p,12,0.051305396119529167,0.65262911105332222,mean_p|train_n=12|p=50,4,9,-1.3777999999999999,0.93608999999999998
3394316332,12,50,mean_p,12,0.24950411254954674,0.12551664925511272,mean_p|train_n=12|p=50,5,10,-1.3777999999999999,0.93608999999999998
1040504255,12,50,mean_p,12,0.088803163442107924,0.47776134549583477,mean_p|train_n=12|p=50,6,12,-1.3777999999999999,0.93608999999999998
2732655119,12,50,mean_p,12,0.077469173389635007,0.52499293722591656,mean_p|train_n=12|p=50,7,18,-1.3777999999999999,0.93608999999999998
1877312817,12,50,mean_p,12,0.63540787395357357,0.0050661500133938504,mean_p|train_n=12|p=50,8,21,-1.3777999999999999,0.93608999999999998
3679680443,12,50,mean_p,12,0.06714552792946385,0.57206606246105485,mean_p|train_n=12|p=50,9,22,-1.3777999999999999,0.93608999999999998
1216935791,12,2,median_rt,12,0.63373315413236031,0.0051372149331166544,median_rt|train_n=12|p=2,0,1,-1.8710800000000001,1.3204899999999999
2260314959,12,2,median_rt,12,0.6290372066201112,0.0053418438527479423,median_rt|train_n=12|p=2,1,3,-1.8710800000000001,1.3204899999999999
1769420166,12,2,median_rt,12,0.67620639364595814,0.0036082706606422803,median_rt|train_n=12|p=2,2,4,-1.8710800000000001,1.3204899999999999
1744918561,12,2,median_rt,12,0.60062390535562782,0.0067659730019123373,median_rt|train_n=12|p=2,3,6,-1.8710800000000001,1.3204899999999999
389127389,12,2,median_rt,12,0.53850964390924649,0.011342514176611052,median_rt|train_n=12|p=2,4,9,-1.8710800000000001,1.3204899999999999
3394316332,12,2,median_rt,12,0.65245414243094657,0.0043964363298961045,median_rt|train_n=12|p=2,5,10,-1.8710800000000001,1.3204899999999999
1040504255,12,2,median_rt,12,0.59399433529199019,0.0071495491134924288,median_rt|train_n=12|p=2,6,12,-1.8710800000000001,1.3204899999999999
2732655119,12,2,median_rt,12,0.64730367946625067,0.0045888737992430461,median_rt|train_n=12|p=2,7,18,-1.8710800000000001,1.3204899999999999
1877312817,12,2,median_rt,12,0.74877669634363564,0.0019730997981792708,median_rt|train_n=12|p=2,8,21,-1.8710800000000001,1.3204899999999999
3679680443,12,2,median_rt,12,0.6146315741163958,0.0060218442534610526,median_rt|train_n=12|p=2,9,22,-1.8710800000000001,1.3204899999999999
1216935791,12,5,median_rt,12,0.4421910539741114,0.025272415159455917,median_rt|train_n=12|p=5,0,1,-1.8490899999999999,1.12846
2260314959,12,5,median_rt,12,0.45725668474914372,0.022295861918842762,median_rt|train_n=12|p=5,1,3,-1.8490899999999999,1.12846
1769420166,12,5,median_rt,12,0.39963517074422111,0.036005920264776663,median_rt|train_n=12|p=5,2,4,-1.8490899999999999,1.12846
1744918561,12,5,median_rt,12,0.48467407145064673,0.017749364022901466,median_rt|train_n=12|p=5,3,6,-1.8490899999999999,1.12846
389127389,12,5,median_rt,12,0.34789229515994174,0.055371693561842343,median_rt|train_n=12|p=5,4,9,-1.8490899999999999,1.12846
3394316332,12,5,median_rt,12,0.47091155108604138,0.019902057370550424,median_rt|train_n=12|p=5,5,10,-1.8490899999999999,1.12846
1040504255,12,5,median_rt,12,0.38309453944633726,0.041316605117578856,median_rt|train_n=12|p=5,6,12,-1.8490899999999999,1.12846
2732655119,12,5,median_rt,12,0.40286126515256021,0.03505258904051816,median_rt|train_n=12|p=5,7,18,-1.8490899999999999,1.12846
1877312817,12,5,median_rt,12,0.62874689599930944,0.005354758581208801,median_rt|train_n=12|p=5,8,21,-1.8490899999999999,1.12846
3679680443,12,5,median_rt,12,0.40225242910278042,0.035230551049324169,median_rt|train_n=12|p=5,9,22,-1.8490899999999999,1.12846
1216935791,12,10,median_rt,12,0.36138761981699047,0.049492322760428725,median_rt|train_n=12|p=10,0,1,-1.6489799999999999,1.0959300000000001
2260314959,12,10,median_rt,12,0.26857508775000782,0.10710508987898321,median_rt|train_n=12|p=10,1,3,-1.6489799999999999,1.0959300000000001
1769420166,12,10,median_rt,12,0.2661764107983346,0.10926347145265569,median_rt|train_n=12|p=10,2,4,-1.6489799999999999,1.0959300000000001
1744918561,12,10,median_rt,12,0.39495061793976732,0.037436583379572855,median_rt|train_n=12|p=10,3,6,-1.6489799999999999,1.0959300000000001
389127389,12,10,median_rt,12,0.2302070698136737,0.14737003995513553,median_rt|train_n=12|p=10,4,9,-1.6489799999999999,1.0959300000000001
3394316332,12,10,median_rt,12,0.42649699299627636,0.028796476054313465,median_rt|train_n=12|p=10,5,10,-1.6489799999999999,1.0959300000000001
1040504255,12,10,median_rt,12,0.25194583394228753,0.1229931601846186,median_rt|train_n=12|p=10,6,12,-1.6489799999999999,1.0959300000000001
2732655119,12,10,median_rt,12,0.23388038419558502,0.14293542177215074,median_rt|train_n=12|p=10,7,18,-1.6489799999999999,1.0959300000000001
1877312817,12,10,median_rt,12,0.5596089667394889,0.0095168008660288586,median_rt|train_n=12|p=10,8,21,-1.6489799999999999,1.0959300000000001
3679680443,12,10,median_rt,12,0.28094098131087092,0.096636246150395816,median_rt|train_n=12|p=10,9,22,-1.6489799999999999,1.0959300000000001
1216935791,12,20,median_rt,12,0.24237181870488564,0.13318819999985421,median_rt|train_n=12|p=20,0,1,-1.6032299999999999,0.94359999999999999
2260314959,12,20,median_rt,12,0.18719772459284476,0.21075332608168437,median_rt|train_n=12|p=20,1,3,-1.6032299999999999,0.94359999999999999
1769420166,12,20,median_rt,12,0.15193421641963994,0.28259138756543017,median_rt|train_n=12|p=20,2,4,-1.6032299999999999,0.94359999999999999
1744918561,12,20,median_rt,12,0.34217074673575426,0.05807057136274079,median_rt|train_n=12|p=20,3,6,-1.6032299999999999,0.94359999999999999
389127389,12,20,median_rt,12,0.13280280300563144,0.33133588438051731,median_rt|train_n=12|p=20,4,9,-1.6032299999999999,0.94359999999999999
3394316332,12,20,median_rt,12,0.33973929085750093,0.059256963467219002,median_rt|train_n=12|p=20,5,10,-1.6032299999999999,0.94359999999999999
1040504255,12,20,median_rt,12,0.18235125759730123,0.21942273326421477,median_rt|train_n=12|p=20,6,12,-1.6032299999999999,0.94359999999999999
2732655119,12,20,median_rt,12,0.15484065771240652,0.27584162954450403,median_rt|train_n=12|p=20,7,18,-1.6032299999999999,0.94359999999999999
1877312817,12,20,median_rt,12,0.54421418534099175,0.010816891506639333,median_rt|train_n=12|p=20,8,21,-1.6032299999999999,0.94359999999999999
3679680443,12,20,median_rt,12,0.16010445037220586,0.26402502716882575,median_rt|train_n=12|p=20,9,22,-1.6032299999999999,0.94359999999999999
1216935791,12,50,median_rt,12,0.11307502011729327,0.39042024190995173,median_rt|train_n=12|p=50,0,1,-1.42242,0.96752000000000005
