objective,train_n,p,n,N,mean_p,mean_p2,R_n,relative_se_mean,N_eff,top1_weight,top5_weight
mean_p,12,50,12,2000,0.35380216257199093,0.18166411671283392,1.45126989121,0.0150211499428,1378.10341971,0.00138548858866,0.00675721284512
mean_p,12,50,13,2000,0.29419012978493597,0.13287084123074927,1.53523014326,0.0163589446979,1302.73627624,0.00163071160552,0.00794696352964
mean_p,12,50,14,2000,0.25096365521132258,0.10030115506028567,1.59251771521,0.0172121717864,1255.87299965,0.00180729213933,0.00863966805799
mean_p,12,50,15,2000,0.19482207883825048,0.067496895821406569,1.77830993097,0.0197270110632,1124.66334758,0.00227641627902,0.010959944834
mean_p,12,50,16,2000,0.15992534808774339,0.047171988518621172,1.84437647789,0.0205472197376,1084.37730798,0.00263740223599,0.0125548174695
mean_p,12,50,17,1958,0.12417979979415623,0.031055281576582713,2.01387986901,0.0227555274409,972.252630424,0.00315764066852,0.0146215582067
mean_p,12,50,18,1000,0.10952374698050819,0.024744420018428026,2.06281695482,0.0326008735285,484.773987174,0.00623765796596,0.0266315250271
mean_p,12,50,19,1000,0.089171462131613588,0.016339553388014783,2.05488918379,0.0324790576186,486.644247236,0.00600939085756,0.027820058878
mean_p,12,50,20,1000,0.073571488056763071,0.012414784286445459,2.29361276776,0.0359668287143,435.9933874,0.00730721801341,0.0326832664957
mean_p,16,2,12,500,0.0056120978857314933,4.3515550766230867e-05,1.38163717469,0.0276274202449,361.889509893,0.00874252400506,0.0370946136788
mean_p,16,2,13,500,0.0036039246376340568,1.7668146833167808e-05,1.3603153486,0.026844565506,367.561830802,0.00888573602528,0.0371522363236
mean_p,16,2,14,500,0.0023665192581621085,7.7066360505908793e-06,1.37608342477,0.0274256604214,363.350063665,0.00919791956079,0.0351643561444
mean_p,16,2,15,500,0.0013765546544355412,2.6253711348568594e-06,1.38549125071,0.0277665716539,360.882827477,0.00767287458542,0.0325955916513
mean_p,16,2,16,500,0.00088261435235716188,1.1457460520579892e-06,1.47077554063,0.0306847043534,339.956700522,0.0126874562568,0.0452347613464
mean_p,16,2,17,500,0.00056337023379474929,4.4429902509237385e-07,1.39986954887,0.0282796587275,357.176138593,0.00841385239574,0.0376425501721
mean_p,16,2,18,500,0.00034977287319677914,1.7069066795372748e-07,1.39520340933,0.0281141746929,358.370683913,0.00825271318637,0.0365694156111
mean_p,16,2,19,500,0.0002185947097323069,6.8622907997819131e-08,1.43611700089,0.0295336080048,348.161047944,0.0090502805748,0.0420305113969
mean_p,16,2,20,500,0.00013854427919849112,2.6376556527395055e-08,1.37417139056,0.0273558546041,363.855632154,0.0093640952747,0.0356722165313
mean_p,16,5,12,500,0.02633202813222597,0.0010132459792768788,1.46132316312,0.0303750938476,342.155665918,0.0095230943803,0.0406568371171
mean_p,16,5,13,500,0.018689773258483242,0.00050033125699915201,1.43235137733,0.0294058285832,349.076356481,0.00953620028452,0.0373885847089
mean_p,16,5,14,500,0.013227603349394835,0.00025341825543062212,1.44835682436,0.0299451773867,345.218796632,0.00991109218122,0.0362652581324
mean_p,16,5,15,500,0.0083721414588859896,0.00010571011436712607,1.50814614114,0.0318793394267,331.532857699,0.00799870248497,0.0366533407637
mean_p,16,5,16,500,0.0057437440727870302,5.4260940507300504e-05,1.64473962673,0.035909319869,303.999485313,0.0148541252001,0.0496905742328
mean_p,16,5,17,500,0.0040193076806104818,2.5267623079456676e-05,1.56409052037,0.0335884063441,319.674592672,0.0116505706439,0.043406180748
mean_p,16,5,18,500,0.0027124129278615645,1.1554398212962425e-05,1.57049196864,0.0337784537431,318.371573994,0.00929426646275,0.0421813528077
mean_p,16,5,19,500,0.0017936494902482613,5.2398281428267211e-06,1.62870296218,0.0354599199712,306.992749206,0.0113576296421,0.0463432502924
mean_p,16,5,20,500,0.0012505923699553064,2.4089642374401568e-06,1.54027690403,0.0328717782918,324.61695601,0.0107262877228,0.0425024680567
mean_p,16,10,12,500,0.073398493908337539,0.0087009204720029411,1.61506833347,0.0350733041919,309.584424162,0.0103314331467,0.0438360861568
mean_p,16,10,13,500,0.057088137696954755,0.0051872167871179729,1.59163194419,0.0343986030005,314.142978736,0.0120311916931,0.0417930994178
mean_p,16,10,14,500,0.042655752385638894,0.0029441341001140383,1.61808888299,0.0351593197598,309.006510864,0.00986038969834,0.0424850103115
mean_p,16,10,15,500,0.028844219862311921,0.0014048399541584918,1.68853184512,0.0371088087958,296.115232558,0.0113695320934,0.0448654698815
mean_p,16,10,16,500,0.021236538393973232,0.00084088521056630851,1.86452950379,0.0415819553121,268.16416634,0.0152361804201,0.0571083434996
mean_p,16,10,17,500,0.015748337124022838,0.00044676806910024517,1.80141062465,0.0400352500841,277.560259254,0.0112996911207,0.0491780169881
mean_p,16,10,18,500,0.011546777193614872,0.00024099466110660267,1.80753139792,0.0401878438814,276.620367743,0.0110690809264,0.0509853962291
mean_p,16,10,19,500,0.0080085507579282286,0.00011872681048908015,1.85114712136,0.0412588686553,270.102788823,0.0124119199647,0.0542026470495
mean_p,16,10,20,500,0.0060470051709925806,6.5149764731988423e-05,1.7816901202,0.0395396034427,280.632414318,0.0127363396808,0.0472506752173
mean_p,16,20,12,500,0.16335316011138712,0.04258556815576902,1.59590621084,0.0345226363662,313.301619234,0.00859263620539,0.0389112535485
mean_p,16,20,13,500,0.13637535638313514,0.030245169752651874,1.62623846578,0.0353903508256,307.457983882,0.0102017308219,0.0397776239624
mean_p,16,20,14,500,0.10703597982835712,0.019211678496000046,1.67689446842,0.036793870914,298.170224434,0.00881577219779,0.0410886468305
mean_p,16,20,15,500,0.07824863947160822,0.010851744857220061,1.77233569385,0.0393023076638,282.113598307,0.0101438946482,0.045521043007
mean_p,16,20,16,500,0.06113745217806929,0.0072022970459044607,1.92688748868,0.0430554871923,259.485830354,0.0133259493114,0.0567093964435
mean_p,16,20,17,500,0.04724671023058144,0.0043074339941728311,1.92963639981,0.0431192857039,259.116173415,0.0131561060863,0.054348982853
mean_p,16,20,18,500,0.03780009474078249,0.0027770619596963904,1.94356823651,0.0434411840657,257.25878341,0.0106811933364,0.0519406571884
mean_p,16,20,19,500,0.027418273405764578,0.0014819785150756014,1.9713407619,0.0440758610103,253.634485556,0.0117334030124,0.051985254305
mean_p,16,20,20,500,0.02204012547519937,0.00098724141008338265,2.03233472822,0.0454386339632,246.022465225,0.0138926737968,0.0551596390256
mean_p,16,50,12,500,0.33394439530712311,0.16523511899373286,1.48167870657,0.0310379995028,337.455075641,0.00569075559633,0.0278808152855
mean_p,16,50,13,500,0.29620515861105889,0.13594203659489323,1.54941778386,0.0331486887783,322.701859504,0.00644062399719,0.0299740230921
mean_p,16,50,14,500,0.24680533191252077,0.097895571184281077,1.60714095715,0.0348465480972,311.111478914,0.00717705919242,0.033532328736
mean_p,16,50,15,500,0.19347267229720963,0.066869043842223794,1.78642938032,0.0396592834107,279.887918049,0.00873998306843,0.0383297622048
mean_p,16,50,16,500,0.16204386058701883,0.049809201464455687,1.89689991208,0.0423532740667,263.587971519,0.00977289857666,0.0462413166134
mean_p,16,50,17,500,0.13231200763324941,0.033710735763839934,1.9256161202,0.0430259484545,259.657153237,0.0108148053515,0.0478374745858
mean_p,16,50,18,500,0.11309133711642154,0.025569348746450497,1.9992218462,0.0447039561159,250.097307084,0.0104551809959,0.0485647712405
mean_p,16,50,19,500,0.087323646236816932,0.015570166210179424,2.04187675693,0.0456481490737,244.872761445,0.0107477035929,0.050036143745
mean_p,16,50,20,500,0.073837167647799781,0.011804915740456688,2.16527386262,0.0482757467601,230.917672185,0.0124171505017,0.0528858055606
median_rt,12,2,12,500,0.0055740343355989439,4.3398518546753307e-05,1.39680449988,0.0281710667132,357.959900647,0.00900374750085,0.0376145525717
median_rt,12,2,13,500,0.0035854372984482374,1.7608427506374473e-05,1.36973423192,0.0271931694334,365.034317132,0.00895282463504,0.0374043368585
median_rt,12,2,14,500,0.0023440620203909182,7.6261686781898574e-06,1.38793206848,0.0278543378481,360.248178824,0.00943851839499,0.0357664165219
median_rt,12,2,15,500,0.0013616043116353356,2.5865799123090615e-06,1.39516015489,0.0281126361229,358.381794555,0.00776754122754,0.0325898342873
median_rt,12,2,16,500,0.00087393720186960499,1.1374320886764437e-06,1.4892411314,0.0312807011238,335.741465541,0.0127589427793,0.0458056795589
median_rt,12,2,17,500,0.00055521992230034181,4.3670219353615068e-07,1.4166262708,0.0288661140718,352.951240779,0.00877700485309,0.0382119379332
median_rt,12,2,18,500,0.00034420500523640537,1.6668724928009552e-07,1.40691550939,0.0285277236874,355.387368084,0.00826615886455,0.0371774587626
median_rt,12,2,19,500,0.00021443862699540062,6.6826578538387017e-08,1.45325956636,0.0301084561664,344.054160436,0.00919033384973,0.0426169976075
median_rt,12,2,20,500,0.00013576170227055286,2.5555828892533799e-08,1.38654963883,0.0278046628761,360.607356562,0.00936947691877,0.0362378551171
median_rt,12,5,12,500,0.026109596770977468,0.0010511671615576936,1.54195413367,0.0329227621462,324.263860437,0.0105621412117,0.0432811765129
median_rt,12,5,13,500,0.018269798796974143,0.00050062587910450142,1.4998428841,0.0316178077702,333.368251636,0.01030113789,0.039344105169
median_rt,12,5,14,500,0.01264347463461221,0.00024331722468820131,1.52208873228,0.0323137349212,328.49596045,0.0108527612854,0.0388125421992
median_rt,12,5,15,500,0.007879765178139932,9.7987566397300733e-05,1.57813597787,0.0340039991139,316.829479216,0.00893555872474,0.03899931686
median_rt,12,5,16,500,0.0053455961921355932,5.0240122370283889e-05,1.75815998183,0.0389399533085,284.388226991,0.0162276479891,0.0541623290491
median_rt,12,5,17,500,0.0036713829553023827,2.2605557422058213e-05,1.67708797866,0.0367991298445,298.135820162,0.0127034973554,0.0478826901488
median_rt,12,5,18,500,0.0024501182447593519,1.0120944013099416e-05,1.68595870824,0.0370394035653,296.567168316,0.0103854002008,0.0462317396141
median_rt,12,5,19,500,0.0015800481292576082,4.3539383186028031e-06,1.74398056211,0.0385740991369,286.700443149,0.0117622522344,0.0485164970123
