label,beta,gamma,n,inv_n,log_abs_S_over_n,delta_n,numerical_uncertainty,im_log_S_over_n,e_saddle
small_gamma_control,0.5434,-0.1,71,0.014084507042253521,-0.6402240843840207,0.00016135673309058962,0.0,-4.630021828870949e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,72,0.013888888888888888,-0.6402271271408552,0.000158313976256097,0.0,-4.633559740352876e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,73,0.0136986301369863,-0.6402300717390623,0.0001553693780489418,0.0,-4.637006190356913e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,74,0.013513513513513514,-0.6402329225012178,0.00015251861589349325,0.0,-4.640364567144372e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,75,0.013333333333333334,-0.6402356835127723,0.00014975760433899588,0.0,-4.643638098180207e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,76,0.013157894736842105,-0.6402383586374438,0.00014708247966743748,0.0,-4.646829859334203e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,77,0.012987012987012988,-0.6402409515314668,0.00014448958564450276,0.0,-4.6499427834710345e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,78,0.01282051282051282,-0.640243465656793,0.00014197546031824437,0.0,-4.65297966847506e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,79,0.012658227848101266,-0.6402459042933318,0.00013953682377942922,0.0,-4.655943184751924e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,80,0.0125,-0.640248270550305,0.00013717056680628836,0.0,-4.6588358822455705e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,81,0.012345679012345678,-0.6402505673767908,0.00013487374032050692,0.0,-4.661660197006091e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,82,0.012195121951219513,-0.6402527975715198,0.00013264354559150426,0.0,-4.664418457340991e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,83,0.012048192771084338,-0.640254963791983,0.00013047732512827537,0.0,-4.6671128895797925e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,84,0.011904761904761904,-0.6402570685629059,0.0001283725542053915,0.0,-4.669745623479533e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,85,0.011764705882352941,-0.6402591142841382,0.00012632683297308933,0.0,-4.672318697296532e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,86,0.011627906976744186,-0.6402611032380042,0.0001243378791070393,0.0,-4.674834062547785e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,87,0.011494252873563218,-0.6402630375961559,0.0001224035209553831,0.0,-4.677293588483561e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,88,0.011363636363636364,-0.6402649194259646,0.00012052169114662448,0.0,-4.67969906629107e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,89,0.011235955056179775,-0.6402667506964898,0.00011869042062151447,0.0,-4.682052213047569e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,90,0.011111111111111112,-0.6402685332840513,0.00011690783305995378,0.0,-4.684354675439885e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,91,0.01098901098901099,-0.6402702689774403,0.0001151721396709382,0.0,-4.686608033266029e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,92,0.010869565217391304,-0.6402719594827907,0.0001134816343205669,0.0,-4.68881380273341e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,93,0.010752688172043012,-0.6402736064281381,0.00011183468897313364,0.0,-4.690973439567099e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,94,0.010638297872340425,-0.6402752113676898,0.00011022974942143104,0.0,-4.693088341940576e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,95,0.010526315789473684,-0.6402767757858231,0.00010866533128817135,0.0,-4.695159853240498e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,96,0.010416666666666666,-0.6402783011008353,0.00010714001627598613,0.0,-4.697189264676189e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,97,0.010309278350515464,-0.6402797886684601,0.00010565244865112788,0.0,-4.699177817743777e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,98,0.01020408163265306,-0.6402812397851684,0.00010420133194288805,0.0,-4.701126706554207e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,99,0.010101010101010102,-0.6402826556912666,0.00010278542584463146,0.0,-4.703037080033686e-22,-0.6403854411171113
small_gamma_control,0.5434,-0.1,100,0.01,-0.640284037573809,0.00010140354330223644,0.0,-4.704910044004531e-22,-0.6403854411171113
gamma_minus_one,0.5434,-1.0,18,0.05555555555555555,-0.48276027008462374,-0.009285577359027575,0.0,8.189099067152388e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,19,0.05263157894736842,-0.48245754213670444,-0.008982849411108274,0.0,8.023401021623826e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,20,0.05,-0.482166083520137,-0.008691390794540843,0.0,7.872283429346964e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,21,0.047619047619047616,-0.4818868326868623,-0.008412139961266107,0.0,7.734064690113523e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,22,0.045454545454545456,-0.48162016007459274,-0.008145467348996571,0.0,7.60729415580832e-20,-0.47347469272559617
