beta,gamma,n,inv_n,delta_n,delta_uncertainty,log_abs_Sn_over_n,e_saddle_re,log_S_complex_real,log_S_complex_imag
0.5434,-0.3,76,0.013157894736842105,-0.002225265182801084,4.416407239915543e-10,-0.5533106691162638,-0.5510854039334627,-42.05161085283605,-8.370908915857529e-09
0.5434,-0.3,77,0.012987012987012988,-0.0021979660237397836,1.3407028820466849e-09,-0.5532833699572025,-0.5510854039334627,-42.6028194867046,-2.6836722818921735e-09
0.5434,-0.3,78,0.01282051282051282,-0.0021713242709131553,1.1882107520122531e-09,-0.5532567282043759,-0.5510854039334627,-43.15402479994132,-5.797786906779552e-10
0.5434,-0.3,79,0.012658227848101266,-0.002145316805259423,2.5964780325793413e-09,-0.5532307207387221,-0.5510854039334627,-43.70522693835905,-1.537332501665025e-08
0.5434,-0.3,80,0.0125,-0.0021199218623840776,4.1151428931129885e-09,-0.5532053257958468,-0.5510854039334627,-44.256426063667746,-1.037068344305868e-08
0.5434,-0.3,81,0.012345679012345678,-0.002095117344536268,6.383040651591898e-09,-0.553180521277999,-0.5510854039334627,-44.80762222351792,-1.3646971154041258e-08
0.5434,-0.3,82,0.012195121951219513,-0.0020708831328696276,6.798372642613515e-09,-0.5531562870663324,-0.5510854039334627,-45.358815539439256,-4.355198848435514e-08
0.5434,-0.3,83,0.012048192771084338,-0.002047201025276224,5.5392698206091495e-09,-0.553132604958739,-0.5510854039334627,-45.91000621157533,-3.255046760213609e-08
0.5434,-0.3,84,0.011904761904761904,-0.002024050613795403,8.782782501270958e-09,-0.5531094545472581,-0.5510854039334627,-46.46119418196968,1.7574496519076112e-08
0.5434,-0.3,85,0.011764705882352941,-0.002001415289264896,1.7267880125793056e-08,-0.5530868192227276,-0.5510854039334627,-47.01237963393185,-1.2481184972688503e-08
0.5434,-0.3,86,0.011627906976744186,-0.0019792780690454093,3.416767713204649e-08,-0.5530646820025081,-0.5510854039334627,-47.5635626522157,-4.503024495920077e-08
0.5434,-0.3,87,0.011494252873563218,-0.0019576231701936564,3.1455503757271686e-08,-0.5530430271036564,-0.5510854039334627,-48.1147433580181,1.5048286831569123e-07
0.5434,-0.3,88,0.011363636363636364,-0.001936435603592579,4.191289215693672e-08,-0.5530218395370553,-0.5510854039334627,-48.665921879260864,-9.856065493219514e-08
0.5434,-0.3,89,0.011235955056179775,-0.0019156982822844393,5.1428688419008495e-08,-0.5530011022157472,-0.5510854039334627,-49.2170980972015,-1.9208995060636158e-07
0.5434,-0.3,90,0.011111111111111112,-0.001895398678923521,7.240499022564961e-08,-0.5529808026123862,-0.5510854039334627,-49.76827223511476,3.712952695267116e-07
0.5434,-0.3,91,0.01098901098901099,-0.0018755268813397397,7.512765776152008e-08,-0.5529609308148025,-0.5510854039334627,-50.319444704147024,5.018779870007775e-07
0.5434,-0.3,92,0.010869565217391304,-0.0018560577414513668,1.1632984620035813e-07,-0.5529414616749141,-0.5510854039334627,-50.8706144740921,-2.8879088637713644e-08
0.5434,-0.3,93,0.010752688172043012,-0.001836990894545365,1.0830587471311048e-07,-0.5529223948280081,-0.5510854039334627,-51.42178271900475,-1.2521087870189867e-07
0.5434,-0.3,94,0.010638297872340425,-0.0018183072317086157,1.677364959151717e-07,-0.5529037111651713,-0.5510854039334627,-51.972948849526105,-1.0032739784104445e-06
0.5434,-0.3,95,0.010526315789473684,-0.0017999991443360397,2.652915501721864e-07,-0.5528854030777988,-0.5510854039334627,-52.524113292390886,8.138047439059535e-07
0.5434,-0.3,96,0.010416666666666666,-0.0017820509703632137,2.1552829976290155e-07,-0.5528674549038259,-0.5510854039334627,-53.07527567076729,2.225053686562325e-06
0.5434,-0.3,97,0.010309278350515464,-0.0017644586622094227,3.247323127064661e-07,-0.5528498625956721,-0.5510854039334627,-53.6264366717802,-1.3595759340450459e-06
0.5434,-0.3,98,0.01020408163265306,-0.0017471961856294627,1.538712351978333e-07,-0.5528326001190922,-0.5510854039334627,-54.177594811671035,-9.328412419376281e-07
0.5434,-0.3,99,0.010101010101010102,-0.001730264718451613,3.792306860761485e-07,-0.5528156686519143,-0.5510854039334627,-54.72875119653952,9.18072481614376e-07
0.5434,-0.3,100,0.01,-0.0017136946395818198,9.441090959017018e-07,-0.5527990985730445,-0.5510854039334627,-55.27990985730445,1.0019614934720856e-06
0.5434,-1.0,18,0.05555555555555555,-0.00928557735902491,1.7763568394002505e-15,-0.48276027008462363,-0.4734746927255987,-8.689684861523226,-1.319093346134845e-15
0.5434,-1.0,19,0.05263157894736842,-0.008982849411105664,1.7763568394002505e-15,-0.4824575421367044,-0.4734746927255987,-9.166693300597384,-6.571086590547185e-16
0.5434,-1.0,20,0.05,-0.008691390794538345,1.7763568394002505e-15,-0.48216608352013707,-0.4734746927255987,-9.643321670402742,4.802591539833495e-16
0.5434,-1.0,21,0.047619047619047616,-0.008412139961263665,1.7763568394002505e-15,-0.4818868326868624,-0.4734746927255987,-10.11962348642411,-1.4285663383782802e-15
0.5434,-1.0,22,0.045454545454545456,-0.008145467348993851,1.7763568394002505e-15,-0.4816201600745926,-0.4734746927255987,-10.595643521641037,-2.3388980546970576e-16
0.5434,-1.0,23,0.043478260869565216,-0.007891366168176595,1.7763568394002505e-15,-0.4813660588937753,-0.4734746927255987,-11.071419354556832,1.4885847876510674e-15
0.5434,-1.0,24,0.041666666666666664,-0.007649583779765712,1.7763568394002505e-15,-0.48112427650536443,-0.4734746927255987,-11.546982636128746,5.571784201904818e-16
0.5434,-1.0,25,0.04,-0.007419712236651166,1.7763568394002505e-15,-0.4808944049622499,-0.4734746927255987,-12.022360124056247,-3.569366764014363e-16
0.5434,-1.0,26,0.038461538461538464,-0.007201250600916587,1.7763568394002505e-15,-0.4806759433265153,-0.4734746927255987,-12.497574526489398,-1.2632424408834934e-15
0.5434,-1.0,27,0.037037037037037035,-0.006993647665725855,1.7763568394002505e-15,-0.4804683403913246,-0.4734746927255987,-12.972645190565764,-1.377069258275623e-15
0.5434,-1.0,28,0.03571428571428571,-0.006796331025609781,1.7763568394002505e-15,-0.4802710237512085,-0.4734746927255987,-13.447588665033837,-1.1248158816098945e-15
0.5434,-1.0,29,0.034482758620689655,-0.006608726614470761,1.7763568394002505e-15,-0.4800834193400695,-0.4734746927255987,-13.922419160862015,-8.695951588952411e-16
0.5434,-1.0,30,0.03333333333333333,-0.006430271581582103,1.7763568394002505e-15,-0.4799049643071808,-0.4734746927255987,-14.397148929215424,-9.687105106600271e-16
0.5434,-1.0,31,0.03225806451612903,-0.006260422514865638,1.7763568394002505e-15,-0.47973511524046436,-0.4734746927255987,-14.871788572454395,-4.497782130119869e-16
0.5434,-1.0,32,0.03125,-0.006098660423413005,1.7763568394002505e-15,-0.4795733531490117,-0.4734746927255987,-15.346347300768375,1.8327118562534182e-16
0.5434,-1.0,33,0.030303030303030304,-0.005944493474422885,1.7763568394002505e-15,-0.4794191862000216,-0.4734746927255987,-15.820833144600712,4.792069144288716e-16
0.5434,-1.0,34,0.029411764705882353,-0.00579745818742694,1.7763568394002505e-15,-0.47927215091302566,-0.4734746927255987,-16.295253131042873,-1.2044302951719526e-15
0.5434,-1.0,35,0.02857142857142857,-0.005657119582665515,1.7763568394002505e-15,-0.47913181230826424,-0.4734746927255987,-16.76961343078925,8.156657789411851e-16
0.5434,-1.0,36,0.027777777777777776,-0.005523070634767868,1.7763568394002505e-15,-0.4789977633603666,-0.4734746927255987,-17.243919480973197,8.919539420187397e-16
0.5434,-1.0,37,0.02702702702702703,-0.005394931279444903,1.7763568394002505e-15,-0.4788696240050436,-0.4734746927255987,-17.718176088186613,1.2152740818848748e-15
0.5434,-1.0,38,0.02631578947368421,-0.005272347147288192,1.7763568394002505e-15,-0.4787470398728869,-0.4734746927255987,-18.192387515169703,2.2920852609016998e-15
0.5434,-1.0,39,0.02564102564102564,-0.005154988146282957,1.7763568394002505e-15,-0.4786296808718817,-0.4734746927255987,-18.666557554003386,3.1320263416431073e-15
0.5434,-1.0,40,0.025,-0.005042546977169937,1.7763568394002505e-15,-0.47851723970276866,-0.4734746927255987,-19.140689588110746,-2.5741401027205423e-15
0.5434,-1.0,41,0.024390243902439025,-0.004934737639069098,1.7763568394002505e-15,-0.4784094303646678,-0.4734746927255987,-19.61478664495138,3.3778559596155667e-16
0.5434,-1.0,42,0.023809523809523808,-0.004831293963707239,1.7763568394002505e-15,-0.47830598668930596,-0.4734746927255987,-20.08885144095085,6.906803760583006e-16
0.5434,-1.0,43,0.023255813953488372,-0.004731968203049219,1.7763568394002505e-15,-0.47820666092864794,-0.4734746927255987,-20.56288641993186,4.442987555447306e-15
0.5434,-1.0,44,0.022727272727272728,-0.004636529685542123,1.7763568394002505e-15,-0.47811122241114085,-0.4734746927255987,-21.036893786090197,-7.457044792592918e-16
0.5434,-1.0,45,0.022222222222222223,-0.004544763549444997,1.7763568394002505e-15,-0.4780194562750437,-0.4734746927255987,-21.510875532376968,-3.7174531036577105e-15
0.5434,-1.0,46,0.021739130434782608,-0.004456469557025611,1.7763568394002505e-15,-0.47793116228262433,-0.4734746927255987,-21.98483346500072,-1.677706077310523e-15
0.5434,-1.0,47,0.02127659574468085,-0.0043714609901961965,1.7763568394002505e-15,-0.4778461537157949,-0.4734746927255987,-22.45876922464236,-3.527081571133622e-15
0.5434,-1.0,48,0.020833333333333332,-0.004289563626002357,1.7763568394002505e-15,-0.4777642563516011,-0.4734746927255987,-22.93268430487685,-7.915960355653582e-16
0.5434,-1.0,49,0.02040816326530612,-0.004210614788977607,1.7763568394002505e-15,-0.47768530751457633,-0.4734746927255987,-23.40658006821424,-1.165981314883104e-15
