saddle_id,beta,gamma,certified,box_radius,residual,jacobian_cond,re_phi,im_phi,det_hessian_re_phi,nearest_action_gap,matches_lambda_abs,matches_lambda_local,is_bm24_seed_saddle,z_real,z_imag,krawczyk_contraction,proof
0,0.5433996420760803,0.7487887432117251,True,1e-06,1.0190778508706368e-13,19.019269331537313,-0.2080123143118695,-1.4888848540807512e-14,7.647212969806156e-56,0.001119577891043777,False,False,False,"[5.33928490184709, -0.857747413245901, -5.779200332898238, -0.515920586617344, -0.8577474132459035, 0.46491592012134236, -0.5159205866176215, -0.12093174355717795]","[2.211604219718962, -2.277785385739266, -1.0507610191918333e-26, -0.3497943988666347, 2.2777853857392696, 0.19257447947709633, 0.34979439886668673, 7.393402719447843e-14]",4.54413782175204e-05,{}
1,0.5433996420760803,0.7487887432117251,True,1e-06,1.0785643590255096e-14,34.64144899244892,-0.6015337671824066,-0.14681180167841212,5.540539106092432e-53,0.020116553498532364,False,False,False,"[5.339284901847097, -0.8577474132459051, -5.7792003328982275, -1.4794328304284954, -0.8577474132459035, -0.4783616227034133, 1.3322679902193924, -0.01721961650344138]","[2.2116042197189705, -2.2777853857392683, -6.442770783347097e-16, 0.42673239955266196, 2.2777853857392696, 0.6100241420709357, -2.835024673975571, -0.9342376099687024]",6.915510691868572e-05,{}
2,0.5433996420760803,0.7487887432117251,True,1e-06,9.154502476927197e-15,5.76808264641168,-0.22378984579740402,0.6692475764781154,1.046530176580893e-57,0.009781168247925742,False,False,False,"[5.339284901847086, -0.857747413245902, -5.779200332898224, 1.0319099440636508, -0.8577474132459024, -0.2289144521873446, -0.43301985564499534, 0.33493874737821033]","[2.2116042197189665, -2.277785385739267, 5.143554724755688e-16, 3.0799355489173017, 2.277785385739267, -0.21997591591303212, 0.46800554202613837, 0.15463495228626184]",1.1424728421570758e-05,{}
3,0.5433996420760803,0.7487887432117251,True,1e-06,9.010046363000523e-15,5.768082931604922,-0.22378984579740302,-0.6692475764781145,-9.948290157581509e-58,0.009781168247924743,False,False,False,"[5.339284901847084, -0.8577474132459026, -5.779200332898219, -0.43301985564499546, -0.8577474132459019, -0.31741342329310096, 1.03190994406365, 0.33493874737820956]","[2.211604219718962, -2.2777853857392647, 8.510874745196215e-16, -0.46800554202613803, 2.2777853857392656, -0.006320499613448636, -3.0799355489173013, -0.15463495228626112]",1.2148481537883684e-05,{}
4,0.5433996420760803,0.7487887432117251,True,1e-06,1.4546887564889487e-14,26.900875350845475,-0.20913189220291328,-5.447969831316258e-16,3.33422819404402e-56,0.001119577891043777,False,False,False,"[5.33928490184708, -0.8577474132459023, -5.779200332898224, -0.595978319968895, -0.8577474132459012, 0.8967840300231831, -0.5959783199689013, -0.19870565196920792]","[2.2116042197189594, -2.277785385739265, 4.1792846375491274e-20, -0.15573098566069105, 2.277785385739263, 0.37146010775519706, 0.15573098566069243, 1.2739638774768095e-15]",8.539459343255982e-05,{}
5,0.5433996420760803,0.7487887432117251,True,1e-06,1.1188316253696675e-13,170.4623941701905,-2.3388986765640096,0.6194036644118646,-3.4739247452804e-52,0.06100055249755565,False,False,False,"[5.33928490184709, -0.8577474132459019, -5.779200332898224, -3.697287764571386, -0.857747413245901, 3.1561449022794448, 3.1029498152990618, -1.7314883506780427]","[2.211604219718962, -2.2777853857392656, 3.2359746483731333e-15, 4.088708789164002, 2.277785385739266, 0.9469922192613132, -2.6997190720607325, -1.554636463386521]",0.00029021976993313096,{}
6,0.5433996420760803,0.7487887432117251,True,1e-06,3.49752958750342e-13,26.206798686046433,-0.27334882722920084,6.3849770831343635,1.7104219985075526e-52,0.04955898143179682,False,True,False,"[5.3392849018470825, -0.8577474132459026, -5.7792003328982275, -0.3196308186826353, -0.8577474132459015, -0.6824557236220559, -1.3161129484364447, 0.41666959223496564]","[2.211604219718963, -2.2777853857392647, 2.325017383361906e-15, -0.3975795497071874, 2.277785385739266, 0.24114505429113636, -8.778123694822016, -0.7071703582420279]",2.4351511857541108e-05,{}
7,0.5433996420760803,0.7487887432117251,True,1e-06,3.026656118867652e-14,43.41028093831399,-2.7646422060215627,5.394820563262912,-4.43949341271162e-46,0.08810904941841535,False,False,False,"[5.33928490184709, -0.8577474132459015, -5.779200332898233, -1.9429848337322455, -0.8577474132459029, 0.1148458428824066, -2.1463756010509814, -0.06803450206246504]","[2.2116042197189625, -2.277785385739268, 1.0565431755483952e-15, 0.23712465873416796, 2.277785385739266, -0.12179671319616314, -2.8527716615589744, -0.14203158422013204]",0.00010465853787025467,{}
8,0.5433996420760803,0.7487887432117251,True,1e-06,5.564421850464315e-15,35.17557069930845,-2.3998992290615653,4.80766245607024,1.240835442278399e-51,0.017530276508714415,False,False,False,"[5.339284901847092, -0.8577474132459053, -5.779200332898233, -0.5421278352019189, -0.8577474132459053, -0.009559160784496442, -1.9289063990801576, 0.045407019509215975]","[2.211604219718967, -2.277785385739272, -1.9092748119727008e-15, -0.4205403846470714, 2.277785385739268, 0.003624268676938059, -2.6602171012628055, -0.26471739502265446]",3.5800698863538894e-05,{}
9,0.5433996420760803,0.7487887432117251,True,1e-06,2.63889154835249e-14,14.962364255823095,-0.6568586084973966,-0.5238700350640325,-3.4504803986730795e-53,0.05532484131498938,False,False,False,"[5.3392849018470825, -0.8577474132459008, -5.779200332898219, -0.37675649891841884, -0.8577474132459023, -0.3448263916060322, -1.499582206158069, -0.02987083380582937]","[2.211604219718963, -2.277785385739261, 3.008976153455237e-16, -0.7648991233431068, 2.277785385739265, -0.07822209241202341, -0.11466905336874159, -0.05360167519571366]",5.1721764349961344e-05,{}
10,0.5433996420760803,0.7487887432117251,True,1e-06,1.3994065060035312e-13,34.59709902803551,-1.877523374794196,-1.1287313439126807,-3.040030708863605e-51,0.1556264011426911,False,False,False,"[5.339284901847086, -0.8577474132459024, -5.779200332898224, -0.21191990014566472, -0.8577474132459024, -0.07043348733731207, -2.2437654963410374, -0.08273612029531092]","[2.2116042197189665, -2.277785385739267, 1.449622108587317e-17, -0.9022706313845731, 2.277785385739267, -0.35951844140623845, -0.4783112377842333, -0.007907361324574121]",5.9190797521796244e-05,{}
11,0.5433996420760803,0.7487887432117251,True,1e-06,6.394226645925983e-13,11.429001512577823,-0.38312370605068713,-0.9300063762985806,3.1410351048784137e-52,0.030485689224662327,False,False,False,"[5.339284901847096, -0.8577474132459029, -5.779200332898238, -1.7228300122353535, -0.8577474132459029, 0.6571976331271308, -1.2903399066702088, 0.6276001945645376]","[2.2116042197189647, -2.2777853857392705, 1.489327888863222e-15, 0.6971058370134725, 2.27778538573927, -0.7507603254190793, -2.500841798939617, -0.1664497174759523]",2.5403146018534938e-05,{}
12,0.5433996420760803,0.7487887432117251,True,1e-06,4.131760281895412e-14,97.60678662237966,-0.21187552496625228,2.012418948907886,1.9086726421347536e-53,0.0004555651301827446,False,False,False,"[5.339284901847081, -0.8577474132459018, -5.7792003328982195, -3.4581268407096943, -0.8577474132459014, 3.477663135822256, 0.8043669255090267, -0.8189466514119849]","[2.211604219718959, -2.2777853857392674, 1.4144389967788312e-16, 1.811951356275425, 2.277785385739263, 3.1319459036620034, 0.7529228706034693, -1.3054649449323374]",0.0001906664452077714,{}
13,0.5433996420760803,0.7487887432117251,True,1e-06,8.881784197001252e-15,30.48906563183038,-0.21400867754947828,1.0902341849739838e-15,-1.0325473866218674e-56,0.0021331525832259945,False,False,False,"[5.339284901847089, -0.8577474132459041, -5.779200332898233, 0.16172303341525307, -0.8577474132459024, 2.4499341004970208, 0.16172303341526365, -1.521348196833995]","[2.211604219718965, -2.2777853857392687, -3.2765045935039973e-28, 2.1902363336232202, 2.277785385739267, 1.0147959313461963, -2.190236333623212, -4.094591642874418e-15]",4.245673320923922e-05,{}
14,0.5433996420760803,0.7487887432117251,True,1e-06,2.2633796346191105e-13,85.25525919399536,-1.355342047060772,-0.6657612452586399,-1.240788212985714e-50,0.36655492659073285,False,False,False,"[5.339284901847087, -0.8577474132459054, -5.779200332898225, 1.7319501431722786, -0.8577474132459016, -0.005481039038362963, -1.054118467729869, -1.9866405425648066]","[2.2116042197189603, -2.277785385739266, 4.798615047707355e-15, 0.5915405860841557, 2.277785385739268, 1.694883603596625, -1.6861643981320553, -0.5942813521739287]",0.0001837256469189961,{}
15,0.5433996420760803,0.7487887432117251,True,1e-06,1.5954736157428161e-12,30.188522407071385,-2.4174295055704373,1.37424815637261,-2.3990104782487493e-52,0.017530276508868514,False,False,False,"[5.339284901847089, -0.8577474132459025, -5.7792003328982275, -1.7680113236072867, -0.857747413245903, -0.6133914508991051, -0.42655592231338973, 0.2654801305348995]","[2.211604219718965, -2.277785385739267, -1.1953584302685528e-15, 1.885414035164215, 2.277785385739266, 0.13129921660401214, -0.6549099981280179, 0.5076708680279135]",5.5170913192349215e-05,{}
