saddle_id,beta,gamma,certified,box_radius,residual,jacobian_cond,re_phi,im_phi,det_hessian_re_phi,nearest_action_gap,re_phi_plus_pref,re_phi_plus_pref_conv2,matches_lambda_abs_conv1,matches_lambda_abs,matches_lambda_local,matches_lambda_abs_full,matches_lambda_abs_conv2,controls_finite_n,is_bm24_seed_saddle,source,z_real,z_imag,krawczyk_contraction,proof
10,0.5433996420760803,0.7487887432117251,True,1e-12,2.9438846308300107e-13,32.24248996327166,1.0530184690363744,-0.106309226628857,8.968036072031766e-52,8.881784197001252e-15,-24.071744921732467,0.36340909403637445,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847092, -0.8577474132459046, -5.779200332898233, -0.22947108787357057, -0.8577474132459014, 0.13618920943101856, 0.6729823205475154, -0.4099601325096711]","[2.2116042197189616, -2.2777853857392665, 2.576457111797446e-15, -0.5316792313282789, 2.277785385739268, -0.009309120662775647, 4.007680674757367, 0.27438270626006483]",7.50073085103411e-06,"{""contraction_bound"": 7.50073085103411e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847092, -0.8577474132459046, -5.779200332898233, -0.22947108787357057, -0.8577474132459014, 0.13618920943101856, 0.6729823205475154, -0.4099601325096711], ""box_center_imag"": [2.2116042197189616, -2.2777853857392665, 2.576457111797446e-15, -0.5316792313282789, 2.277785385739268, -0.009309120662775647, 4.007680674757367, 0.27438270626006483], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
11,0.5433996420760803,0.7487887432117251,True,1e-12,1.2537166161668539e-14,35.17556321497426,-2.3998992290615675,-4.807662456070237,4.4956846413238844e-51,1.8207657603852567e-14,-27.52466261983041,-3.0895086040615674,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847086, -0.8577474132459029, -5.7792003328982275, -1.9289063990801574, -0.8577474132459056, -0.004196602454865019, -0.5421278352019188, 0.04540701950921606]","[2.2116042197189665, -2.27778538573927, -2.581792521258435e-15, 2.660217101262807, 2.2777853857392674, -0.009322092371474808, 0.4205403846470712, 0.26471739502265434]",1.1296663060331272e-05,"{""contraction_bound"": 1.1296663060331272e-05, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847086, -0.8577474132459029, -5.7792003328982275, -1.9289063990801574, -0.8577474132459056, -0.004196602454865019, -0.5421278352019188, 0.04540701950921606], ""box_center_imag"": [2.2116042197189665, -2.27778538573927, -2.581792521258435e-15, 2.660217101262807, 2.2777853857392674, -0.009322092371474808, 0.4205403846470712, 0.26471739502265434], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
12,0.5433996420760803,0.7487887432117251,True,1e-12,2.2898619026287788e-14,11.428998954405753,-0.3831237060506403,0.9300063762985473,3.3293486476890543e-52,1.3322676295501878e-15,-25.50788709681948,-1.0727330810506404,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847089, -0.8577474132459046, -5.779200332898224, -1.290339906670143, -0.8577474132459024, -0.06615881418570235, -1.7228300122353482, 0.6276001945644925]","[2.211604219718965, -2.2777853857392665, -1.586542634922867e-15, 2.5008417989397342, 2.277785385739267, 0.9955766201135338, -0.6971058370134412, 0.16644971747598478]",9.39455216167857e-06,"{""contraction_bound"": 9.39455216167857e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847089, -0.8577474132459046, -5.779200332898224, -1.290339906670143, -0.8577474132459024, -0.06615881418570235, -1.7228300122353482, 0.6276001945644925], ""box_center_imag"": [2.211604219718965, -2.2777853857392665, -1.586542634922867e-15, 2.5008417989397342, 2.277785385739267, 0.9955766201135338, -0.6971058370134412, 0.16644971747598478], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
13,0.5433996420760803,0.7487887432117251,True,1e-12,4.760910252672851e-13,87.27038163661906,-2.8527512554399417,4.969889151127271,1.6281683139032045e-50,5.240252676230739e-14,-27.977514646208782,-3.5423606304399415,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847086, -0.8577474132459051, -5.7792003328982275, -0.026294618223545493, -0.8577474132459029, -0.012284575969959388, -0.44361927947826413, -1.663564362624181]","[2.2116042197189665, -2.2777853857392683, -1.689576703060607e-15, 0.006317989255858461, 2.277785385739266, 0.5225212145586011, -2.961506028039682, 0.1587429250717982]",9.50765499818351e-06,"{""contraction_bound"": 9.50765499818351e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847086, -0.8577474132459051, -5.7792003328982275, -0.026294618223545493, -0.8577474132459029, -0.012284575969959388, -0.44361927947826413, -1.663564362624181], ""box_center_imag"": [2.2116042197189665, -2.2777853857392683, -1.689576703060607e-15, 0.006317989255858461, 2.277785385739266, 0.5225212145586011, -2.961506028039682, 0.1587429250717982], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
14,0.5433996420760803,0.7487887432117251,True,1e-12,2.3844284997094525e-14,34.64144253158749,-0.6015337671824066,0.1468118016784148,1.8811932950708908e-53,5.551115123125783e-16,-25.726297157951247,-1.2911431421824067,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847088, -0.857747413245902, -5.7792003328982275, 1.3322679902193875, -0.8577474132459026, 0.09309946027287629, -1.479432830428498, -0.01721961650344143]","[2.2116042197189714, -2.277785385739267, -3.8088883809419375e-15, 2.835024673975575, 2.2777853857392647, -0.7696049548188377, -0.42673239955266445, 0.9342376099686958]",8.858678602348284e-06,"{""contraction_bound"": 8.858678602348284e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847088, -0.857747413245902, -5.7792003328982275, 1.3322679902193875, -0.8577474132459026, 0.09309946027287629, -1.479432830428498, -0.01721961650344143], ""box_center_imag"": [2.2116042197189714, -2.277785385739267, -3.8088883809419375e-15, 2.835024673975575, 2.2777853857392647, -0.7696049548188377, -0.42673239955266445, 0.9342376099686958], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
15,0.5433996420760803,0.7487887432117251,True,1e-12,3.829545308012999e-14,84.20910382230593,-3.4927152574156537,0.6600473053488599,3.3058100404525232e-49,0.08416250030243067,-28.617478648184495,-4.1823246324156536,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847098, -0.8577474132459068, -5.7792003328982275, -2.6585003044769704, -0.857747413245902, 0.24051135466934154, 0.010641817971526624, -0.30180478322202464]","[2.2116042197189616, -2.27778538573927, 6.169755345062227e-15, 1.0688675560088603, 2.2777853857392727, 0.3195207941380819, 0.6265602363202999, 0.05033064566291781]",9.957118299491164e-06,"{""contraction_bound"": 9.957118299491164e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847098, -0.8577474132459068, -5.7792003328982275, -2.6585003044769704, -0.857747413245902, 0.24051135466934154, 0.010641817971526624, -0.30180478322202464], ""box_center_imag"": [2.2116042197189616, -2.27778538573927, 6.169755345062227e-15, 1.0688675560088603, 2.2777853857392727, 0.3195207941380819, 0.6265602363202999, 0.05033064566291781], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
16,0.5433996420760803,0.7487887432117251,True,1e-12,3.549954396949643e-14,87.52258525790768,-4.401415711529454,1.898708932255926,-3.1876818010172878e-46,0.0135341187046496,-29.526179102298293,-5.091025086529454,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847096, -0.8577474132459052, -5.7792003328982275, 2.026871092414316, -0.857747413245902, 1.1541138409105713, -2.3384236741261395, -0.6611148853818628]","[2.2116042197189647, -2.2777853857392665, 4.443462648138551e-15, 1.6809729698605402, 2.2777853857392705, -1.5971151089648656, -0.7247678936253713, 0.8848639997610916]",7.43242223012828e-06,"{""contraction_bound"": 7.43242223012828e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847096, -0.8577474132459052, -5.7792003328982275, 2.026871092414316, -0.857747413245902, 1.1541138409105713, -2.3384236741261395, -0.6611148853818628], ""box_center_imag"": [2.2116042197189647, -2.2777853857392665, 4.443462648138551e-15, 1.6809729698605402, 2.2777853857392705, -1.5971151089648656, -0.7247678936253713, 0.8848639997610916], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
17,0.5433996420760803,0.7487887432117251,True,1e-12,1.7286932100658394e-13,87.27037038891166,-2.852751255439994,-4.9698891511272345,-8.580492611404355e-50,5.240252676230739e-14,-27.977514646208835,-3.542360630439994,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847086, -0.8577474132459015, -5.7792003328982275, -0.44361927947824525, -0.8577474132459039, 0.36079178715582816, -0.02629461822355235, -1.6635643626241965]","[2.2116042197189665, -2.2777853857392674, -2.5404002349583757e-16, 2.9615060280396817, 2.277785385739267, -0.378164801100571, -0.006317989255850157, -0.15874292507185342]",1.4265581812257492e-05,"{""contraction_bound"": 1.4265581812257492e-05, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847086, -0.8577474132459015, -5.7792003328982275, -0.44361927947824525, -0.8577474132459039, 0.36079178715582816, -0.02629461822355235, -1.6635643626241965], ""box_center_imag"": [2.2116042197189665, -2.2777853857392674, -2.5404002349583757e-16, 2.9615060280396817, 2.277785385739267, -0.378164801100571, -0.006317989255850157, -0.15874292507185342], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
18,0.5433996420760803,0.7487887432117251,True,1e-12,4.627539552536546e-13,66.93649770143536,-4.117822837982303,-3.268711669727728,-3.3402035343213665e-48,0.11693196463392752,-29.242586228751144,-4.807432212982303,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847085, -0.8577474132459016, -5.7792003328982275, -2.5108260491217664, -0.8577474132459026, 0.0016027219131149444, -0.5334702282666463, -0.019000123636694125]","[2.211604219718968, -2.2777853857392674, -2.6221404273991295e-15, 2.0647997708771686, 2.2777853857392647, -0.0002061332897884102, 0.5157445673416463, 0.21968847702288705]",8.921661773713304e-06,"{""contraction_bound"": 8.921661773713304e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847085, -0.8577474132459016, -5.7792003328982275, -2.5108260491217664, -0.8577474132459026, 0.0016027219131149444, -0.5334702282666463, -0.019000123636694125], ""box_center_imag"": [2.211604219718968, -2.2777853857392674, -2.6221404273991295e-15, 2.0647997708771686, 2.2777853857392647, -0.0002061332897884102, 0.5157445673416463, 0.21968847702288705], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
19,0.5433996420760803,0.7487887432117251,True,1e-12,4.1267454282429825e-14,34.64144950417204,-0.601533767182406,-0.146811801678417,2.714732579182115e-53,5.551115123125783e-16,-25.726297157951247,-1.291143142182406,False,False,False,False,False,False,False,NEWTON_RANDOM,"[5.339284901847086, -0.857747413245903, -5.779200332898207, -1.4794328304284952, -0.8577474132459026, -0.478361622703411, 1.3322679902193886, -0.017219616503441577]","[2.211604219718958, -2.277785385739262, 6.456058024216569e-15, 0.42673239955265857, 2.27778538573927, 0.610024142070934, -2.8350246739755725, -0.9342376099687013]",7.996666317582023e-06,"{""contraction_bound"": 7.996666317582023e-06, ""inflate_iter"": 6, ""box_center_real"": [5.339284901847086, -0.857747413245903, -5.779200332898207, -1.4794328304284952, -0.8577474132459026, -0.478361622703411, 1.3322679902193886, -0.017219616503441577], ""box_center_imag"": [2.211604219718958, -2.277785385739262, 6.456058024216569e-15, 0.42673239955265857, 2.27778538573927, 0.610024142070934, -2.8350246739755725, -0.9342376099687013], ""box_radius"": [1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12, 1e-12], ""dps_used"": 50}"
