object_type,object_status,beta,gamma,q,certified,fixed_point,re_phi_m,im_phi_m,prefactor_used_label,prefactor_used,re_phi_plus_prefactor,conv1_prefactor,conv2_prefactor,re_phi_plus_conv1,re_phi_plus_conv2,residual_inf,residual_l2,scaled_res_inf,componentwise_rel,has_nan_or_inf,matches_lambda_abs_conv1,matches_lambda_local_conv1,matches_lambda_abs_conv2,matches_lambda_local_conv2,z_real,z_imag,note
BM24_RAW_ITERATE_OUTPUT,BM24_ITERATE_CERTIFIED_AS_FIXED_POINT,0.5433996420760803,-0.001,3,False,True,0.00042218112208343385,-1.9822431025338864e-16,CONV1_PROP4,-22.06750551687488,-22.0670833357528,-22.06750551687488,-0.689609375,-22.0670833357528,-0.6891871938779165,1.4593596910200012e-12,2.063947167742122e-12,2.1527018222754028e-13,3.729261661659354e-10,False,True,True,False,False,"[5.33928490184708, -0.0014594175309075672, -5.779200332898219, 0.005715452929269865, -0.0014594175309075672, 8.948634860902999e-06, 0.005715452929269869, -5.751556612398976e-06]","[2.211604219718959, 0.007328608646363911, -1.1613292812842403e-29, 0.0007569433472602966, -0.007328608646363911, 3.7066459241106966e-06, -0.000756943347260299, -4.210852941131559e-22]",Raw output from generalized_binomial_sum_scaling_exponent_ksat (not assumed saddle).
NEWTON_POLISHED_FROM_BM24_ITERATE,BM24_ITERATE_CERTIFIED_AS_FIXED_POINT,0.5433996420760803,-0.001,3,False,True,0.0004221811219571208,9.978165752053791e-17,CONV1_PROP4,-22.06750551687488,-22.067083335752923,-22.06750551687488,-0.689609375,-22.067083335752923,-0.6891871938780428,9.930136612989092e-16,9.93052109240026e-16,1.464794684529374e-16,7.408491206570373e-16,False,True,True,False,False,"[5.339284901847091, -0.0014594175309075724, -5.7792003328982275, 0.0057154529280749565, -0.001459417530907574, 8.948634858601775e-06, 0.005715452928074951, -5.751556610255777e-06]","[2.2116042197189665, 0.007328608646363924, -3.1963024118014785e-31, 0.0007569433481038027, -0.007328608646363931, 3.706645923157494e-06, -0.0007569433481038041, -1.996637105574538e-22]",Newton-polished root initialized from BM24 iterate.
KRAWCZYK_CERTIFIED_ROOT_NEAR_BM24_SEED,BM24_ITERATE_CERTIFIED_AS_FIXED_POINT,0.5433996420760803,-0.001,3,True,True,0.0004221811219571208,9.978165752053791e-17,CONV1_PROP4,-22.06750551687488,-22.067083335752923,-22.06750551687488,-0.689609375,-22.067083335752923,-0.6891871938780428,9.930136612989092e-16,9.93052109240026e-16,1.464794684529374e-16,7.408491206570373e-16,False,True,True,False,False,"[5.339284901847091, -0.0014594175309075724, -5.7792003328982275, 0.0057154529280749565, -0.001459417530907574, 8.948634858601775e-06, 0.005715452928074951, -5.751556610255777e-06]","[2.2116042197189665, 0.007328608646363924, -3.1963024118014785e-31, 0.0007569433481038027, -0.007328608646363931, 3.706645923157494e-06, -0.0007569433481038041, -1.996637105574538e-22]",Krawczyk-certified root selected as nearest certified to BM24 seed action.
