object_type,object_status,beta,gamma,q,certified,fixed_point,re_phi_m,im_phi_m,prefactor_used_label,prefactor_used,re_phi_plus_prefactor,conv1_prefactor,conv2_prefactor,re_phi_plus_conv1,re_phi_plus_conv2,residual_inf,residual_l2,scaled_res_inf,componentwise_rel,has_nan_or_inf,matches_lambda_abs_conv1,matches_lambda_local_conv1,matches_lambda_abs_conv2,matches_lambda_local_conv2,z_real,z_imag,note
BM24_RAW_ITERATE_OUTPUT,BM24_ITERATE_CERTIFIED_AS_FIXED_POINT,0.5433996420760803,0.001,3,False,True,-0.00042033807351849525,-2.7562624674601147e-16,CONV2_ALL_SUBSETS_PRIMARY,-0.689609375,-0.6900297130735185,-0.68960954740234,-0.689609375,-0.6900298854758585,-0.6900297130735185,1.4537994024024584e-12,2.0559893387828824e-12,2.1444998392324135e-13,3.8150427440293937e-10,False,True,True,True,True,"[5.339284901847092, -0.0014594175309075705, -5.779200332898233, -0.004950476955342863, -0.001459417530907573, 8.904033829091377e-06, -0.004950476955342869, -5.6997618279668235e-06]","[2.211604219718967, -0.007328608646363933, 3.553148220116757e-31, -0.002903930281205821, 0.007328608646363932, -3.688171571838488e-06, 0.0029039302812058233, -1.1616403929017319e-21]",Raw output from generalized_binomial_sum_scaling_exponent_ksat (not assumed saddle); Conv2 baseline is primary.
NEWTON_POLISHED_FROM_BM24_ITERATE,BM24_ITERATE_CERTIFIED_AS_FIXED_POINT,0.5433996420760803,0.001,3,False,True,-0.00042033807338836627,1.5089855036232028e-17,CONV2_ALL_SUBSETS_PRIMARY,-0.689609375,-0.6900297130733883,-0.68960954740234,-0.689609375,-0.6900298854757284,-0.6900297130733883,1.0658141036401503e-14,1.2080540942502836e-14,1.5721826340902587e-15,2.4963864850781763e-15,False,True,True,True,True,"[5.339284901847092, -0.0014594175309075726, -5.7792003328982275, -0.004950476953916854, -0.0014594175309075726, 8.904033826703508e-06, -0.004950476953916854, -5.699761825791108e-06]","[2.211604219718967, -0.007328608646363925, 4.357704251433873e-28, -0.002903930281471183, 0.007328608646363925, -3.6881715708493844e-06, 0.002903930281471173, -9.097169987929566e-21]",Newton-polished root initialized from BM24 iterate.
