object_type,object_status,beta,gamma,q,certified,fixed_point,re_phi_m,im_phi_m,prefactor_used_label,prefactor_used,re_phi_plus_prefactor,conv1_prefactor,conv2_prefactor,re_phi_plus_conv1,re_phi_plus_conv2,residual_inf,residual_l2,scaled_res_inf,componentwise_rel,has_nan_or_inf,matches_lambda_abs_conv1,matches_lambda_local_conv1,matches_lambda_abs_conv2,matches_lambda_local_conv2,z_real,z_imag,note
BM24_RAW_ITERATE_OUTPUT,BM24_NONCONVERGED_ITERATE,0.5433996420760803,0.7487887432117251,3,False,False,-0.0958274551219574,5.9737228002946015e-15,CONV1_PROP4,-25.12476339076884,-25.220590845890797,-25.12476339076884,-0.689609375,-25.220590845890797,-0.7854368301219574,2.053820231083309,3.4625959151406014,0.30295907042553233,5.188676703618156,False,True,False,False,False,"[5.339284901847094, -0.857747413245904, -5.7792003328982275, -0.018204269954217995, -0.857747413245904, 0.947033519481058, -0.01820426995428062, -0.2355664167698711]","[2.211604219718966, -2.2777853857392687, 1.0735931542975497e-27, 0.5590390059911646, 2.2777853857392687, 0.39227412779097837, -0.559039005991163, 1.3178843798868747e-14]",Raw output from generalized_binomial_sum_scaling_exponent_ksat (not assumed saddle).
NEWTON_POLISHED_FROM_BM24_ITERATE,BM24_ITERATE_CERTIFIED_AS_FIXED_POINT,0.5433996420760803,0.7487887432117251,3,False,True,-0.1990365675376541,-1.1070443915803948e-16,CONV1_PROP4,-25.12476339076884,-25.323799958306495,-25.12476339076884,-0.689609375,-25.323799958306495,-0.888645942537654,3.2652638748082427e-15,5.926162837238833e-15,4.816591507058008e-16,2.0522648410042442e-15,False,False,False,False,False,"[5.339284901847087, -0.8577474132459025, -5.779200332898227, -0.5338851142437976, -0.8577474132459026, 2.0742625097176446, -0.5338851142437951, -0.5527309634844909]","[2.2116042197189634, -2.2777853857392665, -5.087598170851543e-25, 0.6572424512233287, 2.2777853857392665, 0.8591876634471032, -0.6572424512233281, -6.596904185035524e-16]",Newton-polished root initialized from BM24 iterate.
KRAWCZYK_CERTIFIED_ROOT_NEAR_BM24_SEED,BM24_ITERATE_CERTIFIED_AS_FIXED_POINT,0.5433996420760803,0.7487887432117251,3,True,True,-0.1509828803307423,-0.11259112552736367,CONV1_PROP4,-25.12476339076884,-25.27574627109958,-25.12476339076884,-0.689609375,-25.27574627109958,-0.8405922553307423,1.8397571365438168e-14,2.7130645240162408e-14,2.7138261833269736e-15,6.587634960939916e-15,False,False,False,False,False,"[5.339284901847096, -0.8577474132459052, -5.779200332898233, 1.693584537081083, -0.857747413245902, 1.0258136807224492, -1.303407621724009, -2.0420484907339254]","[2.2116042197189647, -2.2777853857392665, 3.0517304522661855e-15, 0.20063146973530224, 2.277785385739267, 1.8505141311187923, -2.46992752652075, 0.9556346717169599]",Krawczyk-certified root selected as nearest certified to BM24 seed action.
