p,c_sp,c_sp_error_bm24_half_sample,c_rt,c_rt_error_bm24_half_sample,instances_per_n_min,instances_per_n_max
2,0.6719995021337152,0.0053200630082132945,0.665349298202551,0.00839493956585326,500,500
5,0.5672954844073654,0.006777908339334494,0.582118909767734,0.010041183373757874,500,500
8,0.49986170891554704,0.007189388690985183,0.5161762348244214,0.010564912851431078,500,500
10,0.4701175761419386,0.0075817691619407025,0.49537148996857766,0.010108822488964138,500,500
15,0.415199638368604,0.007247135324929603,0.4599778300411652,0.01075138721937701,500,500
20,0.37810399107135045,0.006995051559903411,0.42789509073792953,0.011174351970506521,500,500
30,0.3410903059974299,0.008172689279201013,0.40226522451485247,0.010618982318053524,500,500
40,0.3099760947435869,0.007034669309871848,0.37977350135400934,0.01045397279282994,500,500
50,0.2880536071409021,0.007685658752032906,0.361497993521123,0.012419294803763054,500,500
