p,c_sp,c_sp_error_bm24_half_sample,c_rt,c_rt_error_bm24_half_sample,instances_per_n_min,instances_per_n_max
2,0.671999502133715,0.005320063008213309,0.6653492982025508,0.00839493956585322,500,500
5,0.5672954844073653,0.006777908339334474,0.5821189097677336,0.01004118337375786,500,500
10,0.4701175761419383,0.007511620382183147,0.49537148996857755,0.011143711220488328,500,500
20,0.37810399107135034,0.00783112938367397,0.4278950907379294,0.013352663131990619,500,500
50,0.288053607140902,0.007841376687122547,0.3614979935211228,0.01117943317228925,500,500
