p,c_sp,c_sp_error_bm24_half_sample,c_rt,c_rt_error_bm24_half_sample,instances_per_n_min,instances_per_n_max
2,0.671999502133715,0.005320063008213309,0.6653492982025508,0.00839493956585322,500,500
5,0.562751570367869,0.0039971260670589,0.5771144502986469,0.004848820430265129,1000,2000
10,0.4664116930297371,0.004672229404848303,0.4971543271017755,0.005829497796525528,1000,2000
20,0.37647247303828446,0.004755550869498962,0.4277467833021432,0.007729176549231802,1000,2000
50,0.2878562917628421,0.0057825396680352605,0.367547342752739,0.008090194886783203,1000,2000
