gamma,competitor_index,classification,re_phi_m,im_phi_m,im_mod_abs,full_conv2_exponent,lambda_exact_interp,abs_gap_to_exact,signed_re_gap_vs_seed,z_distance_from_seed,physically_feasible,impossible_if_physical,strict_exact_match,loose_exact_match,near_real_phase,high_re_bad_match
-0.3,16,physical_feasible_but_not_explanatory,0.06033836350568422,-1.848367523984793,1.848367523984793,-0.6292710114943157,-0.5576450530090665,0.07162595848524922,-0.07818562187854727,3.9721253342155527,True,False,False,False,False,False
-0.3,17,physical_feasible_but_not_explanatory,-2.004271310686775,1.7318864653617165,1.7318864653617165,-2.693880685686775,-0.5576450530090665,2.1362356326777086,-2.1427952960710064,3.130747896863663,True,False,False,False,False,False
-0.3,18,physical_feasible_but_not_explanatory,-1.6640021305806196,0.47272578392074616,0.47272578392074616,-2.3536115055806195,-0.5576450530090665,1.795966452571553,-1.8025261159648511,3.9270789241989816,True,False,False,False,False,False
-0.3,19,physical_feasible_but_not_explanatory,-3.5002617406832277,4.469735451898925,1.8134498552806608,-4.189871115683228,-0.5576450530090665,3.632226062674161,-3.638785726067459,4.510850380445036,True,False,False,False,False,False
-0.3,20,physical_feasible_but_not_explanatory,-2.153397522440601,0.4643528539108905,0.4643528539108903,-2.843006897440601,-0.5576450530090665,2.2853618444315345,-2.2919215078248323,3.72183682704637,True,False,False,False,False,False
-0.3,21,physical_feasible_but_not_explanatory,-0.18228775980290568,0.6547348659451288,0.6547348659451289,-0.8718971348029056,-0.5576450530090665,0.3142520817938391,-0.3208117451871372,4.242216504734186,True,False,False,False,False,False
-0.3,22,physical_feasible_but_not_explanatory,-4.682736063335611,-2.263139195672802,2.263139195672802,-5.372345438335611,-0.5576450530090665,4.814700385326544,-4.821260048719842,4.448196389515595,True,False,False,False,False,False
-0.3,23,physical_feasible_but_not_explanatory,0.019856198152792492,-0.5096497137034783,0.5096497137034781,-0.6697531768472075,-0.5576450530090665,0.11210812383814095,-0.118667787231439,3.223678782948443,True,False,False,False,False,False
-0.3,24,physical_feasible_but_not_explanatory,-1.0391978759393812,0.7535596368772549,0.753559636877255,-1.728807250939381,-0.5576450530090665,1.1711621979303146,-1.1777218613236127,2.8217764609223117,True,False,False,False,False,False
-0.3,25,physical_feasible_but_not_explanatory,-2.4759212119270892,1.2479211336988445,1.2479211336988447,-3.165530586927089,-0.5576450530090665,2.6078855339180227,-2.614445197311321,3.5862341165735705,True,False,False,False,False,False
-0.3,26,physical_feasible_but_not_explanatory,-2.439851342081379,-1.4746022759729462,1.4746022759729462,-3.129460717081379,-0.5576450530090665,2.5718156640723127,-2.5783753274656105,4.866462881113097,True,False,False,False,False,False
-0.3,27,physical_feasible_but_not_explanatory,-3.500261740683229,-4.469735451898925,1.8134498552806608,-4.189871115683229,-0.5576450530090665,3.632226062674163,-3.6387857260674608,4.510850380445005,True,False,False,False,False,False
-0.3,28,physical_feasible_but_not_explanatory,-2.4759212119270924,-1.2479211336988447,1.2479211336988447,-3.165530586927092,-0.5576450530090665,2.607885533918026,-2.6144451973113236,3.5862341165735954,True,False,False,False,False,False
-0.3,29,physical_feasible_but_not_explanatory,-0.5791834064913042,-1.1188255929408697,1.11882559294087,-1.268792781491304,-0.5576450530090665,0.7111477284822375,-0.7177073918755357,3.1883404560697453,True,False,False,False,False,False
-0.3,30,physical_feasible_but_not_explanatory,-2.3346199587209058,1.3617500656891384,1.3617500656891384,-3.0242293337209056,-0.5576450530090665,2.466584280711839,-2.4731439441051375,3.5338986544115545,True,False,False,False,False,False
-0.3,31,physical_feasible_but_not_explanatory,-4.354414317662723,-1.1144524582733744,1.1144524582733744,-5.044023692662723,-0.5576450530090665,4.4863786396536565,-4.492938303046954,3.1930844202093556,True,False,False,False,False,False
-0.3,32,physical_feasible_but_not_explanatory,-6.848636881573109,3.161107765474301,3.122077541705285,-7.5382462565731085,-0.5576450530090665,6.980601203564042,-6.98716086695734,6.087934165304546,True,False,False,False,False,False
-0.3,33,physical_feasible_but_not_explanatory,-0.06540390563643383,-1.0518828045329327,1.0518828045329327,-0.7550132806364338,-0.5576450530090665,0.19736822762736728,-0.20392789102066533,3.8118071737503993,True,False,False,False,False,False
-0.3,34,physical_feasible_but_not_explanatory,0.5427990564699808,-0.019049299294936928,0.01904929929493715,-0.14681031853001913,-0.5576450530090665,0.4108347344790474,0.40427507108574934,4.487601850128448,True,False,False,False,True,True
-0.3,35,physical_feasible_but_not_explanatory,0.6562697158672415,-0.6884877984205588,0.6884877984205588,-0.03333965913275849,-0.5576450530090665,0.524305393876308,0.51774573048301,3.2923364469305416,True,False,False,False,False,True
-0.3,36,physical_feasible_but_not_explanatory,-4.739389584784527,2.114112102396416,2.1141121023964153,-5.4289989597845265,-0.5576450530090665,4.87135390677546,-4.877913570168758,3.8165305005538617,True,False,False,False,False,False
-0.3,37,physical_feasible_but_not_explanatory,-0.822086743301,-1.5206665637998837,1.5206665637998837,-1.5116961183009998,-0.5576450530090665,0.9540510652919333,-0.9606107286852315,32.70431500824402,True,False,False,False,False,False
-0.3,38,physical_feasible_but_not_explanatory,-0.7600747048598825,-0.998032047629853,0.9980320476298532,-1.4496840798598825,-0.5576450530090665,0.8920390268508159,-0.898598690244114,2.9186262266990357,True,False,False,False,False,False
-0.3,39,physical_feasible_but_not_explanatory,-2.805663918592215,-1.0983013578567313,1.098301357856731,-3.495273293592215,-0.5576450530090665,2.9376282405831486,-2.944187903976447,3.714029058162558,True,False,False,False,False,False
-0.3,40,physical_feasible_but_not_explanatory,-0.5791834064913035,1.1188255929408697,1.11882559294087,-1.2687927814913036,-0.5576450530090665,0.7111477284822371,-0.717707391875535,3.1883404560697466,True,False,False,False,False,False
-0.3,41,physical_feasible_but_not_explanatory,-0.18228775980290834,-0.6547348659451266,0.6547348659451266,-0.8718971348029083,-0.5576450530090665,0.3142520817938418,-0.32081174518713984,4.242216504734182,True,False,False,False,False,False
-0.3,42,physical_feasible_but_not_explanatory,-1.9396012109200513,-0.5363396153119662,0.5363396153119662,-2.629210585920051,-0.5576450530090665,2.0715655329109848,-2.078125196304283,3.5277558028390357,True,False,False,False,False,False
-0.3,43,physical_feasible_but_not_explanatory,-4.859935511918897,4.047680392330643,2.235504914848943,-5.549544886918897,-0.5576450530090665,4.99189983390983,-4.998459497303128,3.0232005974256597,True,False,False,False,False,False
-0.3,44,algebraic_only_positive_full,2.981199214591655,5.234991102414692,1.0481942047648936,2.291589839591655,-0.5576450530090665,2.8492348926007214,2.8426752292074235,5.801296884657777,False,True,False,False,False,True
-0.3,45,physical_feasible_but_not_explanatory,-4.189782838816269,0.037935916352809684,0.037935916352809684,-4.879392213816269,-0.5576450530090665,4.3217471608072024,-4.3283068242005,4.123136601648208,True,False,False,False,True,False
-0.3,46,physical_feasible_but_not_explanatory,-1.4779992275297036,-0.1707900091368244,0.1707900091368244,-2.1676086025297034,-0.5576450530090665,1.609963549520637,-1.616523212913935,4.952552587926573,True,False,False,False,False,False
-0.3,47,physical_feasible_but_not_explanatory,-0.06540390563643717,1.0518828045329343,1.0518828045329345,-0.7550132806364371,-0.5576450530090665,0.1973682276273706,-0.20392789102066866,3.8118071737503927,True,False,False,False,False,False
-0.3,48,physical_feasible_but_not_explanatory,-0.6360202180540125,1.3037946461782075,1.3037946461782077,-1.3256295930540125,-0.5576450530090665,0.767984540044946,-0.774544203438244,4.584606945688396,True,False,False,False,False,False
-0.3,49,physical_feasible_but_not_explanatory,-2.262796567669257,6.355452368184243,0.07226706100465563,-2.952405942669257,-0.5576450530090665,2.3947608896601906,-2.4013205530534885,3.9644203306618175,True,False,False,False,False,False
-0.3,50,physical_feasible_but_not_explanatory,-1.044271902498965,-0.5423778482750043,0.5423778482750041,-1.733881277498965,-0.5576450530090665,1.1762362244898985,-1.1827958878831966,3.0477689865837014,True,False,False,False,False,False
-0.3,51,physical_feasible_but_not_explanatory,-1.0407148734314007,-6.290603802727287,0.007418495547701021,-1.7303242484314008,-0.5576450530090665,1.1726791954223343,-1.1792388588156322,3.5768657766382588,True,False,False,False,True,False
-0.3,52,physical_feasible_but_not_explanatory,-2.9313476541803665,0.44976521103497635,0.44976521103497635,-3.6209570291803663,-0.5576450530090665,3.0633119761713,-3.0698716395645977,5.068607090789211,True,False,False,False,False,False
-0.3,53,physical_feasible_but_not_explanatory,-3.8000845497041613,1.3591268127055027,1.3591268127055027,-4.489693924704161,-0.5576450530090665,3.9320488716950948,-3.9386085350883926,3.527379486582553,True,False,False,False,False,False
-0.3,54,physical_feasible_but_not_explanatory,-3.1063463765639927,-0.7184545039656052,0.7184545039656052,-3.7959557515639926,-0.5576450530090665,3.238310698554926,-3.244870361948224,4.7079507014339566,True,False,False,False,False,False
