gamma,re_phi_m,full_conv2_exponent,lambda_exact_interp,abs_gap_to_exact,seed_full_interp,seed_abs_gap_to_exact,delta_re_vs_seed,re43_minus_re46,im43_plus_im46,mean_im_mod_abs,physically_feasible
-1.2650000000000001,0.10110742395299543,-0.5885019510470046,-0.5156472760238844,0.07285467502312026,-0.5094356566665964,0.0062116193572879785,-0.07906629438040816,0.0008412660932513027,0.004830929519373139,0.157143913671977,True
-1.565,0.06720182219893456,-0.6224075528010655,-0.5836450958475877,0.0387624569534778,-0.5816965075146013,0.0019485883329863896,-0.04071104528646405,-0.0014284992530124718,-0.002725688452564823,0.04468400470378464,True
-1.7149999999999999,0.04342784246670428,-0.6461815325332958,-0.6236267050845109,0.022554827448784898,-0.6280809699985719,0.004454264914060979,-0.01810056253472378,-0.0017455169223423717,-0.0016485932368222045,0.011608442805552732,True
-1.7349999999999999,0.039891923657502715,-0.6497174513424974,-0.6288096999950132,0.020907751347484127,-0.6346735680005966,0.005863868005583361,-0.015043883341900634,0.0017905495860162102,0.00147731719862354,0.008480856669212944,True
-1.7650000000000001,0.034415630860639146,-0.6551937441393609,-0.6363769807116585,0.018816763427702443,-0.6447055011965863,0.008328520484927826,-0.010488242942774548,0.0018609269111649063,0.0011864096688245507,0.0044736717943771875,True
-1.8050000000000002,0.0267692397646504,-0.6628401352353497,-0.6459441440004094,0.016895991234940233,-0.6582888848873518,0.012344740886942374,-0.004551250347997797,0.0019648834826715422,0.0006376994439484807,0.0007255919612241257,True
-1.855,0.018644151069401538,-0.6709652239305985,-0.656782256422718,0.014182967507880506,-0.6752404087896067,0.018458152366888636,0.004275184859008272,-0.0011980787639713775,1.6756587236685143e-15,8.881784197001252e-16,True
-1.875,0.016435254361523988,-0.673174120638476,-0.6606988753661941,0.012475245272281943,-0.6818656513641311,0.021166775997937037,0.008691530725655098,-0.0010179976442433736,1.4264419897794424e-16,8.881784197001252e-16,True
-1.9249999999999998,0.01214271027361169,-0.6774666647263884,-0.6693129824827503,0.008153682243638105,-0.6995327370799692,0.03021975459721893,0.022066072353580983,0.0007234225585384113,-3.5031500456163853e-16,2.220446049250313e-16,True
-1.9449999999999998,0.010781985358081114,-0.678827389641919,-0.6722694075160472,0.006557982125871775,-0.7069831091658906,0.03471370164984333,0.028155719523971712,0.0006390039651594792,2.007085287600222e-15,8.881784197001252e-16,True
-1.995,0.008018501714840032,-0.6815908732851601,-0.6784524290633452,0.0031384442218148623,-0.726427723293702,0.047975294230356735,0.044836850008542005,0.00047553352744345023,-4.1079337259080166e-15,1.9984014443252818e-15,True
-2.025,0.0067074477609115335,-0.6829019272390886,-0.6813839813908692,0.0015179458482194041,-0.7386023134417075,0.05721833205083826,0.05570038620261907,-0.0004005907953572585,-5.037471511740884e-16,8.881784197001252e-16,True
-2.065,0.005272804410966225,-0.6843365705890339,-0.6844935027611996,0.00015693217216572464,-0.7553700389323281,0.07087653617112855,0.07103346834329435,-0.0003197103907783827,2.7328851602785872e-15,1.3322676295501878e-15,True
-2.105,0.004126959133188446,-0.6854824158668116,-0.6868277551123517,0.0013453392455401447,-0.7727017570764794,0.08587400196412764,0.08721934120966786,-0.0002554698336403316,3.974866077613708e-16,1.1102230246251565e-15,True
-2.125,0.003643530278848617,-0.6859658447211514,-0.6877523246143763,0.0017864798932248904,-0.7815653183031938,0.09381299368881746,0.09559947358204242,-0.00022833176505043795,2.390158859206885e-15,1.3322676295501878e-15,True
-2.145,0.0032115257495909377,-0.6863978492504091,-0.6885396626528243,0.002141813402415149,-0.790554185678067,0.10201452302524272,0.10415633642765794,-0.00020400323169822432,1.5099977576316943e-15,8.881784197001252e-16,True
-2.175,0.002648509029361673,-0.6869608659706384,-0.689499974856288,0.002539108885649566,-0.8042627767320517,0.11476280187576371,0.11730191076141341,-0.00017210373372733567,-1.8896201991850943e-09,9.448100080078348e-10,True
-2.205,0.0021739019778242025,-0.6874354730221759,-0.6902402577347471,0.0028047847125711733,-0.8182294680392607,0.1279892103045136,0.13079399501708494,0.00014494552353574996,-1.1009544422185505e-15,4.440892098500626e-16,True
-2.255,0.0015446542541252412,-0.6880647207458749,-0.6910995823908265,0.003034861644951592,-0.8420466374055517,0.15094705501472527,0.1539819166596771,-0.00010831549320969303,2.1751605901465123e-15,1.1102230246251565e-15,True
