saddle_id,beta,gamma,certified,box_radius,residual,jacobian_cond,re_phi,im_phi,det_hessian_re_phi,nearest_action_gap,re_phi_plus_pref,re_phi_plus_pref_conv2,matches_lambda_abs,matches_lambda_local,matches_lambda_abs_full,matches_lambda_abs_conv2,controls_finite_n,is_bm24_seed_saddle,z_real,z_imag,krawczyk_contraction,proof
0,0.5433996420760803,-0.001,False,nan,7.413291871719049e-06,1.0037584116210565,0.00042213060856285045,-1.2195012093599593e-07,nan,0.6149391274388522,-0.6891874167937772,-0.6891872443914371,True,True,True,True,False,False,"[5.339284901847089, -0.001459417530907574, -5.779200332898224, 0.005715452928074944, -0.0014594175309075707, 8.948634858601785e-06, 0.005715452928074949, -5.751556610255783e-06]","[2.211604219718965, 0.007328608646363925, 1.8213659025638423e-30, 0.0007569433481038056, -0.00732860864636392, -3.706645923157497e-06, -0.0007569433481038009, -1.2760346036536134e-21]",inf,"{""reason"": ""inclusion/contraction failed"", ""dps_used"": 255}"
1,0.5433996420760803,-0.001,False,nan,0.03730137048998756,22.895207411823442,1.2260835610936547,-0.35076978237788126,nan,0.0038928832416036396,0.5364740136913146,0.5364741860936547,False,False,False,False,False,False,"[5.339284901847083, -0.0014594175309075655, -5.77920033289822, -1.7225115649220382, -0.001459417530907569, 0.006607920717278747, 0.0056947088685826265, 0.0012087452227174638]","[2.2116042197189607, 0.007328608646363918, 3.92300214084085e-15, 3.8334866551732487, -0.007328608646363925, 0.0019085418118880361, -0.000724438634410347, -0.0040162470030783255]",inf,"{""reason"": ""inclusion/contraction failed"", ""dps_used"": 255}"
2,0.5433996420760803,-0.001,False,nan,0.03759668599541502,23.268771507259398,1.2299764443352583,0.35712112458494627,nan,0.0038928832416036396,0.5403668969329183,0.5403670693352584,False,False,False,False,False,False,"[5.339284901847085, -0.0014594175309075716, -5.779200332898224, 0.0056947088685826526, -0.0014594175309075694, 0.0033229626913668106, -1.7225115649220388, 0.0012087452227174627]","[2.211604219718968, 0.007328608646363919, -3.2723836044735283e-15, 0.0007244386344103504, -0.007328608646363928, -0.006022048406094975, -3.833486655173249, 0.004016247003078329]",inf,"{""reason"": ""inclusion/contraction failed"", ""dps_used"": 255}"
3,0.5433996420760803,-0.001,False,nan,0.1170593330095932,42.45972179053268,0.615361258047415,-2.6060375905163844,nan,0.6107223030462396,-0.074248289354925,-0.07424811695258493,False,False,False,False,False,False,"[5.339284901847083, -0.001459417530907565, -5.779200332898233, 0.00562257159537474, -0.0014594175309075497, 0.008189063825017346, -2.8724153338322367, 0.0023546855146207163]","[2.211604219718984, 0.0073286086463639185, -1.760181363607002e-14, 0.0007505625262766462, -0.007328608646363935, -0.008899290039892559, -3.8326302284750478, 0.0041613271492294225]",inf,"{""reason"": ""inclusion/contraction failed"", ""dps_used"": 255}"
