run_stem,train_seed,eval_seed,depth,qaoa_log2_slope,lr_log2_slope,lr_minus_qaoa_slope,qaoa_train_mean_p,lr_train_mean_p,qaoa_over_lr_train_mean_p,lr_over_qaoa_median_runtime_n12,lr_over_qaoa_median_runtime_n13,lr_over_qaoa_median_runtime_n14,nearest_lr_delta_gamma,nearest_lr_delta_beta,nearest_lr_rel_angle_residual,nearest_lr_over_qaoa_median_runtime_n12,nearest_lr_over_qaoa_median_runtime_n13,nearest_lr_over_qaoa_median_runtime_n14
expressivity-qaoa-vs-lr-n12-14-ts20-seed31415,31415,271828,2,0.29704644484270804,0.4785304249676522,0.18148398012494416,0.015846950681175892,0.005098079379382064,3.1084158370042276,2.762078646568752,2.7914209146434477,3.5522235068015418,-1.1462907670699019,1.40635433000789,0.3607730615514915,4.025138962444031,4.197681247615183,5.1850612728798
expressivity-qaoa-vs-lr-n12-14-ts20-seed31415,31415,271828,3,0.24901172018101517,0.3525919708057282,0.10358025062471302,0.03172439614394851,0.012296951953576567,2.5798585099555074,2.3443081281739055,2.575403729914789,2.7063017485150427,-1.243353182858162,1.2416169463319677,0.3165562589716639,3.2883906579781828,3.409048439894974,3.8841567248683266
expressivity-qaoa-vs-lr-n12-14-ts20-seed31415,31415,271828,5,0.1031300574302882,0.17094073148525696,0.06781067405496875,0.07493848942910962,0.029094264545424103,2.5757134816764364,2.643076444966417,2.401557210845561,2.903593517431212,-1.2983231138870845,1.106969720544089,0.2881680832865534,2.8989263257808537,2.6035076109720796,2.9222260311382056
expressivity-qaoa-vs-lr-n12-14-ts20-seed12345,12345,54321,2,0.4778667685017038,0.7069316682627291,0.22906489976102534,0.016986240861261843,0.006091877940839999,2.788342285617042,2.860793538005077,3.772511412593886,3.93004323092784,-1.135366949690456,1.3880042843562366,0.35718365055124757,3.9099866247351702,5.181565450527404,5.397964407673253
expressivity-qaoa-vs-lr-n12-14-ts20-seed12345,12345,54321,3,0.4647562925040345,0.5604828537038072,0.09572656119977274,0.030804117883582387,0.01342519416737882,2.2945007349265536,2.3663339529226297,2.3446765164702903,2.7021482214293226,-1.2059638357427436,1.1820855022479424,0.3069790674214303,2.9228434424903544,3.5044239722383765,3.664874698306764
expressivity-qaoa-vs-lr-n12-14-ts20-seed12345,12345,54321,5,0.3292962487081513,0.5289242391616894,0.19962799045353813,0.06465361697893823,0.027763693286527762,2.3287109647732342,2.4374030249901457,2.5148831514587138,3.2145143732408403,-1.2727001903729154,1.0659914440568696,0.2785733056897737,2.529709365151843,3.0423571241263807,3.6974177685060314
expressivity-qaoa-vs-lr-n12-14-ts20-seed424242,424242,777777,2,0.533190171753424,0.6613527512098956,0.12816257945647158,0.015128124389178285,0.005198760145465971,2.9099485196238715,2.9916134552604605,2.8773723139629794,3.5732799239700537,-1.0968626858000197,1.3462761123213667,0.3694458234148683,4.886702674747582,3.9811210153884056,5.78940903049973
expressivity-qaoa-vs-lr-n12-14-ts20-seed424242,424242,777777,3,0.45223242609031516,0.5640993093846689,0.11186688329435374,0.02798189466313012,0.011714683140389762,2.3886172871935765,2.5624823160017596,2.2507404912662974,2.9923435395079347,-1.1932995596525557,1.1775627858348394,0.31427882461847007,3.8496869384468537,2.930712685860131,4.446123582758865
expressivity-qaoa-vs-lr-n12-14-ts20-seed424242,424242,777777,5,0.4149352556786169,0.44880959299999296,0.03387433732137607,0.06020823363524978,0.024552950239751323,2.452179190172121,3.0988711109394473,2.151902472019333,3.2478644570452793,-1.2668170376411942,1.0493550634482727,0.28791980638013437,3.5457473811383613,2.4125352545841747,3.78704069885954
