depth,num_runs,qaoa_slope_mean,qaoa_slope_min,qaoa_slope_max,lr_slope_mean,lr_slope_min,lr_slope_max,gap_mean,gap_min,gap_max,qaoa_over_lr_train_mean_p_mean,lr_over_qaoa_runtime_n14_mean,nearest_lr_rel_angle_residual_mean,nearest_lr_over_qaoa_runtime_n14_mean
2,3,0.4360344616992786,0.29704644484270804,0.533190171753424,0.615604948146759,0.4785304249676522,0.7069316682627291,0.1795704864474804,0.12816257945647158,0.22906489976102534,2.9355688807483804,3.685182220566478,0.36246751183920245,5.457478237017594
3,3,0.3886668129251216,0.24901172018101517,0.4647562925040345,0.4923913779647348,0.3525919708057282,0.5640993093846689,0.10372456503961318,0.09572656119977274,0.11186688329435374,2.420992177358546,2.800264503150767,0.3126047170038548,3.998385001977985
5,3,0.2824538539390188,0.1031300574302882,0.4149352556786169,0.38289152121564646,0.17094073148525696,0.5289242391616894,0.10043766727662766,0.03387433732137607,0.19962799045353813,2.452201212207264,3.121990782572444,0.2848870651188205,3.4688948328345925
