beta,Gamma,gamma,gamma_AS,region,lambda_abs_100,seed_re_phi,comp_re_phi,phi_pref_conv2,seed_full_exponent,comp_full_exponent,seed_error_full_minus_lambda,comp_error_full_minus_lambda,seed_residual_inf,comp_residual_inf,comp_certified
0.4,1.95,-1.95,1.746484375,outside_abs_gamma_gt_gamma_AS,-0.6924335455461794,-0.06638134413484265,-0.0024375068245861553,-0.689609375,-0.7559907191348426,-0.6920468818245862,-0.0635571735886632,0.0003866637215932389,7.016114633318831e-15,7.105427357601002e-15,True
0.4,2.0,-2.0,1.746484375,outside_abs_gamma_gt_gamma_AS,-0.6935205691827037,-0.08794504878272669,-0.003309610980218314,-0.689609375,-0.7775544237827267,-0.6929189859802183,-0.084033854600023,0.0006015832024853784,7.160723346098895e-15,1.3322676295501878e-14,True
0.4,2.05,-2.05,1.746484375,outside_abs_gamma_gt_gamma_AS,-0.6941182413607249,-0.11039365343344354,-0.003799183134821138,-0.689609375,-0.8000030284334435,-0.693408558134821,-0.10588478707271864,0.0007096832259038122,1.1374233532693354e-14,1.8137593052014544e-14,True
0.4,2.1,-2.1,1.746484375,outside_abs_gamma_gt_gamma_AS,-0.6943843812499223,-0.1336455905041367,-0.004015789282915294,-0.689609375,-0.8232549655041367,-0.6936251642829152,-0.12887058425421438,0.0007592169670070925,1.040534282191528e-14,8.881784197001252e-15,True
0.45,1.0,-1.0,1.7824218749999998,inside_abs_gamma_lt_gamma_AS,-0.49125832004204356,0.20033819807444783,0.11332012049948936,-0.689609375,-0.4892711769255521,-0.5762892545005106,0.001987143116491452,-0.08503093445846704,7.716050021144838e-15,6.217248937900877e-15,True
0.45,1.3,-1.3,1.7824218749999998,inside_abs_gamma_lt_gamma_AS,-0.5380170364178981,0.15328490978663434,0.08714169194507548,-0.689609375,-0.5363244652133656,-0.6024676830549245,0.0016925712045324781,-0.06445064663702638,5.564421850464315e-15,7.993605777301127e-15,True
0.45,1.5,-1.5,1.7824218749999998,inside_abs_gamma_lt_gamma_AS,-0.5872950491755337,0.10350167717352488,0.06265889343688169,-0.689609375,-0.5861076978264751,-0.6269504815631183,0.001187351349058563,-0.03965543238758462,1.1800037420250344e-14,5.773159728050814e-15,True
0.45,1.6,-1.6,1.7824218749999998,inside_abs_gamma_lt_gamma_AS,-0.6160710336280721,0.07395652984050871,0.04765357469287612,-0.689609375,-0.6156528451594913,-0.6419558003071238,0.0004181884685808823,-0.025884766679051707,2.128387593515725e-14,3.552713678800501e-15,True
0.45,1.7,-1.7,1.7824218749999998,inside_abs_gamma_lt_gamma_AS,-0.6458562476656771,0.041899215119114874,0.030558367360908445,-0.689609375,-0.6477101598808851,-0.6590510076390915,-0.0018539122152080312,-0.01319475997341446,5.617333549722722e-15,3.552713678800501e-15,True
0.45,1.75,-1.75,1.7824218749999998,inside_abs_gamma_lt_gamma_AS,-0.6597025729539907,0.025214329157446702,0.021112448066890943,-0.689609375,-0.6643950458425533,-0.668496926933109,-0.00469247288856256,-0.008794353979118319,4.120161087906676e-13,6.217248937900877e-15,True
0.45,1.8,-1.8,1.7824218749999998,outside_abs_gamma_gt_gamma_AS,-0.6711757346642848,0.008757612929317649,0.012752415647666382,-0.689609375,-0.6808517620706823,-0.6768569593523336,-0.009676027406397503,-0.005681224688048769,1.1031137404813577e-14,0.0,True
0.45,1.825,-1.825,1.7824218749999998,outside_abs_gamma_gt_gamma_AS,-0.6756318556806239,0.0005018123846838307,0.010091211355711338,-0.689609375,-0.6891075626153161,-0.6795181636442886,-0.013475706934692244,-0.003886307963664737,4.001101219584787e-15,6.217248937900877e-15,True
0.45,1.85,-1.85,1.7824218749999998,outside_abs_gamma_gt_gamma_AS,-0.6792035925934957,-0.008202620426392748,0.007942344762240428,-0.689609375,-0.6978119954263927,-0.6816670302377595,-0.018608402832896997,-0.0024634376442638217,5.420799638382024e-15,3.552713678800501e-15,True
0.45,1.875,-1.875,1.7824218749999998,outside_abs_gamma_gt_gamma_AS,-0.681999721392872,-0.017286722749251027,0.006173004734497112,-0.689609375,-0.706896097749251,-0.6834363702655029,-0.02489637635637898,-0.0014366488726308413,5.564421850464315e-15,4.884981308350689e-15,True
0.45,1.9,-1.9,1.7824218749999998,outside_abs_gamma_gt_gamma_AS,-0.684175140364432,-0.026707480370860903,0.004702505545551627,-0.689609375,-0.7163168553708609,-0.6849068694544483,-0.03214171500642882,-0.0007317290900162865,6.0402662910232525e-15,1.3955503419538218e-13,True
