gamma,step_index,certified,failed,failure_reason,residual_inf,krawczyk_contraction,box_radius,re_phi_m,im_phi_m,phi_pref_conv2,full_conv2_exponent,lambda_abs_n_max,gap_to_exact,z_distance_from_previous,jacobian_cond,iterate_used,iterate_converged,matches_exact_tol,z_real,z_imag
-0.001,0,True,False,,8.881784197001252e-16,4.119405532735372e-06,9.930133163329966e-15,0.0004221811219571208,9.978165752053791e-17,-0.689609375,-0.6891871938780428,-0.6891100295771402,-7.716430090265458e-05,0.0,1.0037584076014616,True,True,True,"[5.339284901847091, -0.0014594175309075724, -5.7792003328982275, 0.0057154529280749565, -0.001459417530907574, 8.948634858601775e-06, 0.005715452928074951, -5.751556610255777e-06]","[2.2116042197189665, 0.007328608646363924, -3.1963024118014785e-31, 0.0007569433481038027, -0.007328608646363931, 3.706645923157494e-06, -0.0007569433481038041, -1.996637105574538e-22]"
-0.011,1,True,False,,9.71445146547012e-17,3.054593698632744e-06,1.0152208913185922e-15,0.004745738080747325,1.7571855124638848e-16,-0.689609375,-0.6848636369192527,-0.6840979329287088,-0.0007657039905438756,0.0534369528656523,1.0518933241522397,False,False,True,"[5.339284901847089, -0.012026555361696618, -5.7792003328982275, 0.04777189541741482, -0.012026555361696575, 0.0006079808909629098, 0.04777189541741482, -0.00039886297239356724]","[2.211604219718965, 0.0597103185232957, -9.597394691799545e-30, 0.004763246846260884, -0.05971031852329555, -0.000251833930700515, -0.004763246846260887, 4.8371420025600475e-20]"
-0.020999999999999998,2,True,False,,1.7763568394002505e-15,1.106462753659172e-05,1.7763528183468742e-14,0.009252898289601325,2.0134496101569079e-16,-0.689609375,-0.6803564767103987,-0.6790610364267653,-0.0012954402836333756,0.04634320130892326,1.1073449290563169,False,False,True,"[5.339284901847083, -0.021406887902872734, -5.779200332898222, 0.08596393110881066, -0.02140688790287274, 0.0019178159497555043, 0.08596393110881062, -0.0012845666097052644]","[2.2116042197189616, 0.1050942547670409, -4.4223479971566994e-30, 0.005562108743719259, -0.10509425476704085, -0.0007943853765241701, -0.005562108743719317, 1.7680446202187935e-18]"
-0.031,3,True,False,,8.881784197001252e-15,7.198384359264624e-06,8.88178459946776e-14,0.013935938055045033,-4.333861218470165e-17,-0.689609375,-0.675673436944955,-0.6740118576005782,-0.001661579344376718,0.04354956816060195,1.1669635500482007,False,False,True,"[5.33928490184708, -0.03042209864184781, -5.779200332898219, 0.12300277830857659, -0.030422098641847747, 0.003834580630696267, 0.12300277830857663, -0.002622228242445883]","[2.211604219718962, 0.14770048508969189, 4.187844252232079e-29, 0.0034254371428917366, -0.14770048508969172, 0.0015883353032475735, -0.0034254371428917934, -1.218706338790543e-18]"
-0.041,4,True,False,,8.881784197001252e-16,6.303717204727452e-06,9.930124472944092e-15,0.018779480781347557,-1.3546010586132253e-17,-0.689609375,-0.6708298942186524,-0.6689621722068573,-0.001867722011795081,0.041795993898139545,1.2290134881192836,False,False,True,"[5.33928490184709, -0.039266097504422434, -5.7792003328982275, 0.15910800998827943, -0.039266097504422275, 0.006286044853908551, 0.1591080099882796, -0.004387143161208586]","[2.2116042197189647, 0.1885500724811466, 7.43690566241704e-30, -0.001637827845516487, -0.18855007248114633, -0.0026037650321744997, 0.0016378278455170142, -1.0032194671210816e-17]"
-0.051000000000000004,5,True,False,,4.440892098500626e-15,6.646747925522484e-06,5.420799910267228e-15,0.023761253644245417,1.2543055063352655e-16,-0.689609375,-0.6658481213557546,-0.6639229025480159,-0.00192521880773866,0.040527643020426024,1.2920424646135047,False,False,True,"[5.33928490184708, -0.048027408965168446, -5.7792003328982275, 0.19408272940164703, -0.048027408965168536, 0.009197863842187208, 0.19408272940164667, -0.006547230172499227]","[2.211604219718959, 0.22811936954691261, -2.2063147759850608e-29, -0.009529300596173237, -0.2281193695469129, 0.0038098799482950358, 0.009529300596172826, 3.2671854720707305e-18]"
-0.061000000000000006,6,True,False,,2.7755575615628914e-16,7.81569901837854e-06,3.552924494267607e-15,0.028853968114229023,1.8151284946781722e-16,-0.689609375,-0.660755406885771,-0.6589040517177328,-0.001851355168038138,0.039539737762199365,1.3548515577438223,False,False,True,"[5.339284901847084, -0.05675609273336213, -5.779200332898224, 0.22763700868027215, -0.05675609273336227, 0.012492315402211648, 0.2276370086802717, -0.009061125807915096]","[2.211604219718962, 0.26668361389291745, -9.891969143700163e-30, -0.020023951525405172, -0.2666836138929177, 0.0051744864650383575, 0.02002395152540471, 1.2254040109453975e-17]"
-0.07100000000000001,7,True,False,,4.510281037539698e-16,4.4334394838474225e-06,5.495444115697426e-16,0.03402781734973387,-7.402773355912421e-17,-0.689609375,-0.6555815576502662,-0.653914676283799,-0.0016668813664671989,0.03873398314263678,1.416530133506502,False,False,True,"[5.339284901847089, -0.0654839419214106, -5.7792003328982275, 0.2595153315366208, -0.0654839419214104, 0.01609341237824105, 0.2595153315366206, -0.011881717102164594]","[2.211604219718965, 0.3044214741746657, -2.297978824220656e-28, -0.03279700735600145, -0.3044214741746655, -0.006666109671930489, 0.032797007356001134, 8.600716125543474e-18]"
-0.081,8,True,False,,1.7763568394002505e-15,6.739864205502031e-06,1.986026675333913e-14,0.03925293060042262,3.095785342252856e-16,-0.689609375,-0.6503564443995773,-0.64896288969417,-0.0013935547054072517,0.03805571157037867,1.4764516986562253,False,False,True,"[5.3392849018470825, -0.07423269748029662, -5.779200332898224, 0.28954834031861254, -0.07423269748029673, 0.01993226078752837, 0.2895483403186125, -0.014960961503348982]","[2.211604219718963, 0.34145789488858824, 7.489802192205368e-30, -0.047473344508446993, -0.3414578948885885, -0.008256212746951676, 0.047473344508447084, -6.194693138162022e-18]"
-0.091,9,True,False,,3.552713678800501e-15,7.68547067035179e-06,3.5527182738206446e-14,0.04450128875859066,2.3386088140219045e-16,-0.689609375,-0.6451080862414094,-0.6440558890888269,-0.0010521971525824236,0.037471448514481476,1.5342328931943146,False,False,True,"[5.339284901847086, -0.08301800970147671, -5.779200332898223, 0.31766104656686633, -0.08301800970147667, 0.02395031253633838, 0.3176610465668663, -0.01825383239151813]","[2.211604219718963, 0.37788491429657467, -5.183537502501646e-30, -0.06367475008138361, -0.3778849142965745, -0.00992054427562568, 0.06367475008138394, -1.9333687711651276e-17]"
