branch_id,label,n_points,max_delta,median_delta,frac_delta_positive,integrated_positive_delta,rmse_vs_exact,mae_vs_exact,gamma_min,gamma_max,finite_n_explanatory
46,branch 46 Re~0.101 (~branch 33),231,1.733761991366631,1.1046023272634633,0.9523809523809523,4.686850345002767,0.009419843407915985,0.0026326506844579754,-6.283185307179586,-1.270000000000001,True
43,branch 43 Re~0.011,220,1.733822706874356,1.1396462567114714,0.9181818181818182,4.676976137844086,0.027694817881043044,0.007011093228573595,-6.2799999999999105,-1.0800000000000007,True
150,branch 150 Re~1.909,42,2.2179243647132183,1.6301187454659876,1.0,4.042813887427465,0.3227728741268246,0.24883421132292616,-5.989999999999917,-3.3099999999999734,False
193,branch 193 Re~0.673,35,1.7447479251749378,1.5552527609981888,1.0,3.8210531722873458,0.4090720040421516,0.26509599921445104,-6.259999999999911,-3.619999999999967,False
197,branch 197 Re~1.658,129,1.7189588287082103,0.7508647855976918,1.0,1.850839785001201,0.7960131800174159,0.78254687869529,-6.229999999999912,-3.6899999999999653,False
204,branch 204 Re~1.503,90,1.4240131795990063,0.06924087917519728,0.8444444444444444,1.7970900620560262,1.4604162193368,1.4094878813050478,-6.283185307179586,-3.0799999999999783,False
167,branch 167 Re~0.190,45,0.5724963024171359,-0.5214066943846714,0.17777777777777778,0.6366788686529745,1.46815212798658,1.404268162770229,-6.269999999999911,-2.299999999999995,False
7,branch 7 Re~-1.324,67,1.3950981788206338,-1.4950034810448352,0.05970149253731343,0.6265951670144775,1.4740275395733304,1.4077441907439026,-3.2999999999999736,-0.21000000000000005,False
110,branch 110 Re~-4.472,65,0.5819646804434733,-0.4914351311371288,0.13846153846153847,0.4140215984564739,1.2802441367703847,1.2405747384864936,-5.149999999999935,-2.3599999999999937,False
266,branch 266 Re~-0.983,33,0.9774966884687757,0.10011823307382528,0.9393939393939394,0.413902013765446,1.5936456908759755,1.5810238125394076,-5.9999999999999165,-4.89999999999994,False
0,branch 0 Re~0.004,147,1.680442187730815,0.14886731484688598,0.7006802721088435,0.4017809659273751,0.6065527627531091,0.43331477691512404,-3.989999999999959,-0.02,False
47,branch 47 Re~-1.890,149,1.6175466619397625,-0.45826740964357127,0.04697986577181208,0.33104185025502336,1.0149883195727456,0.9057124150414421,-4.529999999999948,-0.46000000000000024,False
141,branch 141 Re~-1.928 (~branch 135),37,0.6842574366928087,-0.6943282839622125,0.24324324324324326,0.1163477946054384,1.6477065832051705,1.5797916969431098,-5.319999999999931,-2.8899999999999824,False
222,branch 222 Re~-2.522 (~branch 168),60,0.10167894691083923,0.09554509236318065,1.0,0.09372907320039166,1.6175375268895809,1.6173942977114752,-6.283185307179586,-5.289999999999932,False
151,branch 151 Re~-1.246,45,0.28596715755705127,-0.5220030999904886,0.2222222222222222,0.04338428709345743,1.325007852344584,1.2674175619549382,-5.039999999999937,-2.9799999999999804,False
88,branch 88 Re~-1.284,60,0.17501357100385828,-0.6691690287041361,0.08333333333333333,0.0213188273250359,1.533160971717338,1.48261368092289,-4.339999999999952,-1.5200000000000011,False
31,branch 31 Re~-1.062,118,0.02567673574004914,-0.2280582402970177,0.13559322033898305,0.0021047793153803514,1.2970524553121798,1.2365398281520141,-4.789999999999942,-0.9200000000000006,False
2,branch 2 Re~-0.488,181,0.04954437378363585,-0.4436390222243025,0.011049723756906077,0.0012947674610773782,0.6528778423180385,0.5642381363582814,-3.0599999999999787,-0.05,False
58,branch 58 Re~-0.844,36,-0.13671930776668262,-0.6295482318985348,0.0,0.0,1.0878290651496265,1.016757110203812,-2.859999999999983,-1.380000000000001,False
15,branch 15 Re~0.044,34,-0.14191583041025557,-0.7508922696939407,0.0,0.0,1.0871380908567452,0.9567970683847179,-2.3599999999999937,-0.47000000000000025,False
73,branch 73 Re~-2.616 (~branch 74),30,-0.36651259277798287,-0.5724923157421782,0.0,0.0,0.7727270819557758,0.7178397838767061,-2.4199999999999924,-1.8600000000000014,False
